    1/resolution    CC
    0.025556292     0.588465079
    0.032569136     0.588665939
    0.037544853     0.586872957
    0.041180279     0.587358518
    0.044501458     0.586675071
    0.047363052     0.587189446
    0.049674669     0.585584282
    0.052024389     0.586250094
    0.054052713     0.586378833
    0.056230313     0.587038484
    0.057917986     0.586389842
    0.059448456     0.585640052
    0.061114455     0.584258142
    0.062747922     0.582898811
    0.064194606     0.582595943
    0.065671684     0.581955030
    0.066959220     0.580401659
    0.068134526     0.579675448
    0.069285490     0.579076275
    0.070682216     0.580374299
    0.071817053     0.580362288
    0.072835853     0.580380461
    0.074151139     0.579556681
    0.075122995     0.578093602
    0.076043199     0.576783787
    0.077043261     0.578336443
    0.077990879     0.577909429
    0.079110213     0.576267328
    0.079937179     0.574598130
    0.080808551     0.573751356
    0.081676977     0.571424775
    0.082627187     0.570133233
    0.083555068     0.569514249
    0.084280718     0.567816614
    0.085176102     0.565225515
    0.085996161     0.564102928
    0.086771058     0.563196418
    0.087420572     0.560565811
    0.088149469     0.558531846
    0.088906737     0.555930403
    0.089676193     0.554356602
    0.090424995     0.553210493
    0.091225020     0.551968746
    0.091901199     0.551866110
    0.092591380     0.549147841
    0.093272312     0.546610806
    0.093984478     0.544861030
    0.094621629     0.543309802
    0.095213239     0.541541045
    0.095846424     0.541628767
    0.096490908     0.541393775
    0.097053242     0.537711744
    0.097681219     0.537244847
    0.098232387     0.537858299
    0.099006880     0.536129800
    0.099591322     0.535698377
    0.100111572     0.535674851
    0.100748239     0.534870320
    0.101322982     0.531486950
    0.101878583     0.530762343
    0.102527404     0.530088939
    0.103116134     0.530493880
    0.103548987     0.528311791
    0.104049252     0.526343422
    0.104622538     0.523895447
    0.105101108     0.522343115
    0.105668805     0.520033175
    0.106174745     0.520422677
    0.106697575     0.518052975
    0.107156215     0.516920411
    0.107722247     0.515812593
    0.108308359     0.514513597
    0.108825166     0.511986765
    0.109304589     0.510216659
    0.109686708     0.508455462
    0.110154972     0.506247505
    0.110741570     0.506476922
    0.111278816     0.505779121
    0.111644993     0.503143837
    0.112019499     0.501102138
    0.112533507     0.497206691
    0.113049761     0.494561916
    0.113608099     0.493208500
    0.114096216     0.493272527
    0.114531227     0.492836694
    0.114891187     0.493918826
