title,resolution,emdb_id,fitted_pdbs,sample_info_string,xref_UNIPROTKB,RCSB_classification,Q-score
Ribosome dynamics and tRNA movement as visualized by time-resolved electron cryomicroscopy,9.0,EMD-1724,4v7a,"Ribosome	complex_supramolecule	2.5	Escherichia coli_562,m022 mRNA	rna		synthetic construct_32630,fMetVal-tRNAVal	rna	0.025	Escherichia coli_562,Substate of E. coli 70S-fMetVal-tRNAVal post-translocation complex at 18 degrees C	sample_supramolecule	2.5",,RIBOSOME,-0.005
Structure of a yeast closed complex (core CC1),5.1,EMD-0090,6gyk,"Transcription initiation factor IIF subunit beta	protein_or_peptide	0.046684491999999994	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,DNA-directed RNA polymerases I\, II\, and III subunit RPABC4	protein_or_peptide	0.007729969	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,DNA-directed RNA polymerases I\, II\, and III subunit RPABC3	protein_or_peptide	0.016525363	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,DNA-directed RNA polymerase II subunit RPB11	protein_or_peptide	0.013633493	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,Nucleic acids	complex_supramolecule		Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,DNA-directed RNA polymerase II subunit RPB9	protein_or_peptide	0.014308161	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,ZINC ION	ligand	6.5409e-05,GAT1 promoter DNA	dna	0.0173631	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,MAGNESIUM ION	ligand	2.4305e-05,TATA-box-binding protein	protein_or_peptide	0.027042275	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,DNA-directed RNA polymerase II subunit RPB3	protein_or_peptide	0.035330457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,DNA-directed RNA polymerases I\, II\, and III subunit RPABC1	protein_or_peptide	0.025117094	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,DNA-directed RNA polymerase II subunit RPB4	protein_or_peptide	0.025319998	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,RNA polymerase	complex_supramolecule		Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,DNA-directed RNA polymerases I\, II\, and III subunit RPABC2	protein_or_peptide	0.017800636999999998	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,Transcription initiation factor IIF subunit alpha	protein_or_peptide	0.08232057000000001	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,DNA-directed RNA polymerases I\, II\, and III subunit RPABC5	protein_or_peptide	0.008290732	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,Transcription initiation factor IIB	protein_or_peptide	0.038257339999999994	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,Transcription initiation factor IIA large subunit\,Transcription initiation factor IIA large subunit	protein_or_peptide	0.019432028999999996	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,DNA-directed RNA polymerase II subunit RPB7	protein_or_peptide	0.019081053	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,TFs	complex_supramolecule		Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,Transcription initiation factor IIA subunit 2	protein_or_peptide	0.014431130999999998	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,Yeast pre-initiation complex	complex_supramolecule	,DNA-directed RNA polymerase II subunit RPB1	protein_or_peptide	0.191821578	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,DNA-directed RNA polymerase II subunit RPB2	protein_or_peptide	0.138937297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292,GAT1 Promoter	dna	0.017153965	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)_559292","P40422,P34087,P27999,P20435,P29055,P04050,P38902,P16370,P08518,P13393,P20436,P41895,P32773,P22139,P20434,P20433,P41896,P32774",TRANSCRIPTION,-0.004
Structure of eEF3 and the mechanism of transfer RNA release from the E-site.,9.9,EMD-1233,2ix8,"programmed 80S ribosome	complex_supramolecule	4.2,elongation factor 3	protein_or_peptide	0.115	Saccharomyces cerevisiae_4932,80S-RNC-eEF3-AMP-PNP complex from S. cerevisiae	sample_supramolecule	4.3",P16521,NUCLEOTIDE-BINDING,0.007
"Escherichia coli transcription-translation complex D3 (TTC-D3) containing mRNA with a 21 nt long spacer, NusG, and fMet-tRNAs at E-site and P-site",8.9,EMD-21485,6vz5,"50S ribosomal protein L23	protein_or_peptide	0.01122216	Escherichia coli_562,30S ribosomal protein S1	protein_or_peptide	0.061238887	Escherichia coli_562,30S ribosomal protein S9	protein_or_peptide	0.01488627	Escherichia coli_562,50S ribosomal protein L35	protein_or_peptide	0.007313032	Escherichia coli_562,30S ribosomal protein S18	protein_or_peptide	0.009005472	Escherichia coli_562,30S ribosomal protein S2	protein_or_peptide	0.02678167	Escherichia coli_562,DNA-directed RNA polymerase subunit beta	protein_or_peptide	0.150820875	Escherichia coli_562,50S ribosomal protein L20	protein_or_peptide	0.013528024	Escherichia coli_562,50S ribosomal protein L29	protein_or_peptide	0.007286464	Escherichia coli_562,50S ribosomal protein L17	protein_or_peptide	0.014393657	Escherichia coli_562,50S ribosomal protein L22	protein_or_peptide	0.012253359	Escherichia coli_562,5S rRNA	rna	0.03879009	Escherichia coli_562,30S ribosomal protein S8	protein_or_peptide	0.014146557	Escherichia coli_562,30S ribosomal protein S16	protein_or_peptide	0.009207572	Escherichia coli_562,50S ribosomal protein L33	protein_or_peptide	0.006388631	Escherichia coli_562,50S ribosomal protein L3	protein_or_peptide	0.022277535	Escherichia coli_562,23S rRNA	rna	0.941635438	Escherichia coli_562,ZINC ION	ligand	6.5409e-05,50S ribosomal protein L9	protein_or_peptide	0.01578902	Escherichia coli_562,Transcription termination/antitermination protein NusG	protein_or_peptide	0.020560523	Escherichia coli_562,50S ribosomal protein L27	protein_or_peptide	0.00914654	Escherichia coli_562,MAGNESIUM ION	ligand	2.4305e-05,Escherichia coli transcription-translation complex D3 (TTC-D3) containing mRNA with a 21 nt long spacer\, NusG\, and fMet-tRNAs at E-site and P-site	complex_supramolecule		Escherichia coli_562,50S ribosomal protein L15	protein_or_peptide	0.015008471	Escherichia coli_562,50S ribosomal protein L2	protein_or_peptide	0.029923619	Escherichia coli_562,50S ribosomal protein L24	protein_or_peptide	0.01133925	Escherichia coli_562,mRNA with 21 nt long spacer	rna	0.01199382	Escherichia coli_562,50S ribosomal protein L4	protein_or_peptide	0.022121566	Escherichia coli_562,50S ribosomal protein L18	protein_or_peptide	0.012794668	Escherichia coli_562,50S ribosomal protein L30	protein_or_peptide	0.00655482	Escherichia coli_562,16S rRNA	rna	0.499690031	Escherichia coli_562,30S ribosomal protein S10	protein_or_peptide	0.011755597	Escherichia coli_562,30S ribosomal protein S11	protein_or_peptide	0.0124872	Escherichia coli_562,30S ribosomal protein S4	protein_or_peptide	0.023514199	Escherichia coli_562,50S ribosomal protein L34	protein_or_peptide	0.005397463	Escherichia coli_562,30S ribosomal protein S21	protein_or_peptide	0.008524039	Escherichia coli_562,30S ribosomal protein S14	protein_or_peptide	0.01160656	Escherichia coli_562,NT DNA	dna	0.01104211	Escherichia coli_562,50S ribosomal protein L25	protein_or_peptide	0.010713465	Escherichia coli_562,DNA-directed RNA polymerase subunit omega	protein_or_peptide	0.010249547	Escherichia coli_562,30S ribosomal protein S15	protein_or_peptide	0.010290816	Escherichia coli_562,mRNA in the ribosomal RNA entrance pore	rna	0.00087354	Escherichia coli_562,50S ribosomal protein L13	protein_or_peptide	0.016050606	Escherichia coli_562,50S ribosomal protein L31	protein_or_peptide	0.007887117	Escherichia coli_562,30S ribosomal protein S5	protein_or_peptide	0.017629398	Escherichia coli_562,E-site and P-site tRNA (fMet)	rna	0.024496617	Escherichia coli_562,50S ribosomal protein L5	protein_or_peptide	0.020333611	Escherichia coli_562,50S ribosomal protein L16	protein_or_peptide	0.015312269	Escherichia coli_562,30S ribosomal protein S20	protein_or_peptide	0.009708464	Escherichia coli_562,T DNA	dna	0.010956012	Escherichia coli_562,30S ribosomal protein S13	protein_or_peptide	0.013128467	Escherichia coli_562,50S ribosomal protein L32	protein_or_peptide	0.006463445	Escherichia coli_562,30S ribosomal protein S3	protein_or_peptide	0.026031316	Escherichia coli_562,50S ribosomal protein L19	protein_or_peptide	0.013159278	Escherichia coli_562,DNA-directed RNA polymerase subunit alpha	protein_or_peptide	0.03655868	Escherichia coli_562,30S ribosomal protein S12	protein_or_peptide	0.013768157	Escherichia coli_562,30S ribosomal protein S6	protein_or_peptide	0.015727512	Escherichia coli_562,50S ribosomal protein L6	protein_or_peptide	0.018932791	Escherichia coli_562,30S ribosomal protein S7	protein_or_peptide	0.020055156	Escherichia coli_562,50S ribosomal protein L36	protein_or_peptide	0.00437739	Escherichia coli_562,30S ribosomal protein S19	protein_or_peptide	0.010455355	Escherichia coli_562,DNA-directed RNA polymerase subunit beta'	protein_or_peptide	0.155366781	Escherichia coli_562,50S ribosomal protein L28	protein_or_peptide	0.009027551	Escherichia coli_562,50S ribosomal protein L21	protein_or_peptide	0.011586374	Escherichia coli_562,50S ribosomal protein L14	protein_or_peptide	0.013565067	Escherichia coli_562,30S ribosomal protein S17	protein_or_peptide	0.009724491	Escherichia coli_562","P02413,P0A7U7,P0AG67,P0A7V3,P0ADZ0,P0A7U3,P0ADY7,P0AG44,P02358,P0A7P5,P0AG63,P0A7M6,P0A7X3,P0A7Z4,P0A7R5,P0A7R9,P60723,P0A7S9,P61175,P0C018,P0A7V0,P60624,P0A7W1,P0A7S3,P02359,P0A7L3,P0AG48,P0A7M2,P0A7K6,P0A800,P0AFG0,P60422,P0A7Q1,P0AG55,P68919,P0A7W7,P68679,P0AG51,P0A7N4,P0AA10,P0AG59,P0A7N9,P62399,P0A8T7,P0A7Q6,P0A7T3,P0ADY3,P0ADZ4,P0A7V8,P0A7M9,P0A7R1,P0A7L8,P60438,P0A7T7","RIBOSOME,TRANSCRIPTION/TRANSLATION",0.027
"Escherichia coli transcription-translation complex C6 (TTC-C6) containing mRNA with a 21 nt long spacer, NusA, and fMet-tRNAs at E-site and P-site",9.9,EMD-21477,6vyz,"50S ribosomal protein L23	protein_or_peptide	0.01122216	Escherichia coli_562,30S ribosomal protein S1	protein_or_peptide	0.061238887	Escherichia coli_562,30S ribosomal protein S9	protein_or_peptide	0.01488627	Escherichia coli_562,50S ribosomal protein L35	protein_or_peptide	0.007313032	Escherichia coli_562,30S ribosomal protein S18	protein_or_peptide	0.009005472	Escherichia coli_562,50S ribosomal protein L29	protein_or_peptide	0.007155267	Escherichia coli_562,30S ribosomal protein S2	protein_or_peptide	0.02678167	Escherichia coli_562,DNA-directed RNA polymerase subunit beta	protein_or_peptide	0.150820875	Escherichia coli_562,50S ribosomal protein L20	protein_or_peptide	0.013528024	Escherichia coli_562,50S ribosomal protein L17	protein_or_peptide	0.014393657	Escherichia coli_562,mRNA in the ribosomal RNA entrance pore	rna	0.00087354	synthetic construct_32630,50S ribosomal protein L22	protein_or_peptide	0.012253359	Escherichia coli_562,5S rRNA	rna	0.03879009	Escherichia coli_562,30S ribosomal protein S8	protein_or_peptide	0.014146557	Escherichia coli_562,30S ribosomal protein S16	protein_or_peptide	0.009207572	Escherichia coli_562,50S ribosomal protein L33	protein_or_peptide	0.006388631	Escherichia coli_562,50S ribosomal protein L3	protein_or_peptide	0.022277535	Escherichia coli_562,23S rRNA	rna	0.941635438	Escherichia coli_562,ZINC ION	ligand	6.5409e-05,50S ribosomal protein L9	protein_or_peptide	0.01578902	Escherichia coli_562,50S ribosomal protein L27	protein_or_peptide	0.00914654	Escherichia coli_562,MAGNESIUM ION	ligand	2.4305e-05,Transcription termination/antitermination protein NusG	protein_or_peptide	0.020560523	Escherichia coli _562,Escherichia coli transcription-translation complex C6 (TTC-C6) containing mRNA with a 21 nt long spacer\, NusA\, and fMet-tRNAs at E-site and P-site	complex_supramolecule		Escherichia coli_562,50S ribosomal protein L2	protein_or_peptide	0.029923619	Escherichia coli_562,50S ribosomal protein L24	protein_or_peptide	0.01133925	Escherichia coli_562,50S ribosomal protein L15	protein_or_peptide	0.015008471	Escherichia coli_562,50S ribosomal protein L4	protein_or_peptide	0.022121566	Escherichia coli_562,50S ribosomal protein L18	protein_or_peptide	0.012794668	Escherichia coli_562,50S ribosomal protein L30	protein_or_peptide	0.00655482	Escherichia coli_562,16S rRNA	rna	0.499690031	Escherichia coli_562,30S ribosomal protein S10	protein_or_peptide	0.011755597	Escherichia coli_562,30S ribosomal protein S4	protein_or_peptide	0.023514199	Escherichia coli_562,50S ribosomal protein L34	protein_or_peptide	0.005397463	Escherichia coli_562,30S ribosomal protein S21	protein_or_peptide	0.008524039	Escherichia coli_562,30S ribosomal protein S14	protein_or_peptide	0.01160656	Escherichia coli_562,50S ribosomal protein L25	protein_or_peptide	0.010713465	Escherichia coli_562,DNA-directed RNA polymerase subunit omega	protein_or_peptide	0.010249547	Escherichia coli_562,30S ribosomal protein S11	protein_or_peptide	0.013870975	Escherichia coli_562,30S ribosomal protein S15	protein_or_peptide	0.010290816	Escherichia coli_562,50S ribosomal protein L13	protein_or_peptide	0.016050606	Escherichia coli_562,50S ribosomal protein L31	protein_or_peptide	0.007887117	Escherichia coli_562,30S ribosomal protein S5	protein_or_peptide	0.017629398	Escherichia coli_562,E-site and P-site tRNA (fMet)	rna	0.024496617	Escherichia coli_562,DNA-directed RNA polymerase subunit beta'	protein_or_peptide	0.155398859	Escherichia coli_562,50S ribosomal protein L5	protein_or_peptide	0.020333611	Escherichia coli_562,30S ribosomal protein S20	protein_or_peptide	0.009708464	Escherichia coli_562,mRNA with 21 nt long spacer	rna	0.01199382	synthetic construct_32630,50S ribosomal protein L16	protein_or_peptide	0.015312269	Escherichia coli_562,NT DNA	dna	0.01104211	synthetic construct_32630,30S ribosomal protein S3	protein_or_peptide	0.023248994	Escherichia coli_562,30S ribosomal protein S13	protein_or_peptide	0.013128467	Escherichia coli_562,T DNA	dna	0.010956012	synthetic construct_32630,50S ribosomal protein L32	protein_or_peptide	0.006463445	Escherichia coli_562,50S ribosomal protein L19	protein_or_peptide	0.013159278	Escherichia coli_562,DNA-directed RNA polymerase subunit alpha	protein_or_peptide	0.03655868	Escherichia coli_562,30S ribosomal protein S12	protein_or_peptide	0.013768157	Escherichia coli_562,30S ribosomal protein S6	protein_or_peptide	0.015727512	Escherichia coli_562,50S ribosomal protein L6	protein_or_peptide	0.018932791	Escherichia coli_562,30S ribosomal protein S7	protein_or_peptide	0.020055156	Escherichia coli_562,50S ribosomal protein L36	protein_or_peptide	0.00437739	Escherichia coli_562,30S ribosomal protein S19	protein_or_peptide	0.010455355	Escherichia coli_562,50S ribosomal protein L28	protein_or_peptide	0.009027551	Escherichia coli_562,50S ribosomal protein L21	protein_or_peptide	0.011586374	Escherichia coli_562,50S ribosomal protein L14	protein_or_peptide	0.013565067	Escherichia coli_562,30S ribosomal protein S17	protein_or_peptide	0.009724491	Escherichia coli_562","P02413,P0A7U7,P0AG67,P0A7V3,P0ADZ0,P0A7U3,P0ADY7,P0AG44,P02358,P0A7P5,P0AG63,P0A7M6,P0A7X3,P0A7Z4,P0A7R5,P0A7R9,P60723,P0A7S9,P61175,P0C018,P0A7V0,P60624,P0A7W1,P0A7S3,P02359,P0A7L3,P0AG48,P0A7M2,P0A7K6,P0A800,P0AFG0,P60422,P0A7Q1,P0AG55,P68919,P0A7W7,P68679,P0AG51,P0A7N4,P0AA10,P0AG59,P0A7N9,P62399,P0A8T7,P0A7Q6,P0A7T3,P0ADY3,P0ADZ4,P0A7V8,P0A7M9,P0A7R1,P0A7L8,P60438,P0A7T7","RIBOSOME,TRANSCRIPTION/TRANSLATION",0.033
Cryo-EM study of the Spinach chloroplast 					ribosome reveals the structural and functional roles of 					plastid-specific ribosomal proteins,9.4,EMD-1417,4v61,"Spinacea oleracea chloroplast 70S ribosome	sample_supramolecule	2.5,Spinach Chloroplast 70S Ribosome	complex_supramolecule	2.5	Spinacia oleracea_3562",,RIBOSOME,0.035
Stx2a and DARPin complex,6.5,EMD-26563,7ujj,"SODIUM ION	ligand	2.299e-05,FORMIC ACID	ligand	4.6024999999999994e-05,Shiga-like toxin 2 subunit A	protein_or_peptide	0.033228215	Escherichia phage 933W_10730,3-PYRIDINIUM-1-YLPROPANE-1-SULFONATE	ligand	0.00020124299999999998,Ternary complex of stx2 and DARPin	complex_supramolecule		Escherichia phage 933W_10730,Shiga-like toxin 2 subunit A	complex_supramolecule	,water	ligand	1.8015e-05,1\,2-ETHANEDIOL	ligand	6.206799999999999e-05,DARPin	protein_or_peptide	0.019863409999999998	Synthetic construct_32630,Shiga-like toxin 2 subunit B	complex_supramolecule	,DARPin	complex_supramolecule	,Shiga-like toxin 2 subunit B	protein_or_peptide	0.00782459	Escherichia phage 933W_10730","P09386,P09385",ANTITOXIN,0.041
Structures of modified eEF2 80S ribosome complexes reveal the role of GTP hydrolysis in translocation.,9.7,EMD-1343,2p8x,"Thermomyces lanuginosus	complex_supramolecule	3.0,Thermomyces lanuginosus 80S ribosome	sample_supramolecule	3.0,tRNA	rna		Thermomyces lanuginosus_5541,ADPR-eEF2	protein_or_peptide	0.093	Saccharomyces cerevisiae_4932",,TRANSLATION,0.068
map of the RNA polymerase lambda-based antitermination complex solved by cryo-EM,9.8,EMD-3561,5ms0,"lambdaN-dependent antitermination complex	complex_supramolecule		Escherichia coli_562,Transcription termination/antitermination protein NusG	protein_or_peptide	0.020688653999999997	Escherichia coli K-12_83333,DNAII	dna	0.011942696	Escherichia coli_562,DNAI	dna	0.008355408	Escherichia coli_562,DNA-directed RNA polymerase subunit alpha	protein_or_peptide	0.036558679999999996	Escherichia coli_562,Antitermination protein N	protein_or_peptide	0.009877343	Escherichia phage lambda_10710,RNA transcription bubble	rna	0.004492787999999999	Escherichia coli_562,DNA-directed RNA polymerase subunit beta'	protein_or_peptide	0.156537031	Escherichia coli K-12_83333,30S ribosomal protein S10	protein_or_peptide	0.011340066999999999	Escherichia coli K-12_83333,ZINC ION	ligand	6.5409e-05,MAGNESIUM ION	ligand	2.4305e-05,Transcription antitermination protein NusB	protein_or_peptide	0.015709967	Escherichia coli K-12_83333,DNA-directed RNA polymerase subunit omega	protein_or_peptide	0.010249547	Escherichia coli K-12_83333,Transcription termination/antitermination protein NusA	protein_or_peptide	0.055059828	Escherichia coli K-12_83333,nascent RNA	rna	0.00933965	Escherichia coli_562,DNA-directed RNA polymerase subunit beta	protein_or_peptide	0.15080492199999998	Escherichia coli K-12_83333","P0AFG0,P0A780,P0AFF6,P0A7Z4,P0A8T7,P0A800,P0A7R5,P0A8V2,P03045",TRANSCRIPTION/DNA/RNA,0.069
Structure of mammalian eIF3 in the context of the 43S preinitiation complex,9.0,EMD-3057,5a5u,"eIF1	protein_or_peptide		Oryctolagus cuniculus_9986,40S small ribosomal subunit	complex_supramolecule		Oryctolagus cuniculus_9986,Mammalian 43S preinitiation complex bound to DHX29	sample_supramolecule	,eukaryotic initiation factor 3	protein_or_peptide		Oryctolagus cuniculus_9986,eukaryotic initiation factor 2	protein_or_peptide		Oryctolagus cuniculus_9986,DHX29	protein_or_peptide		Oryctolagus cuniculus_9986,eIF1A	protein_or_peptide		Oryctolagus cuniculus_9986,initiator transfer RNA	rna		Oryctolagus cuniculus_9986",P40217,TRANSLATION,0.071
