emdb_id,title,resolution,fitted_pdbs,xref_UNIPROTKB,xref_ALPHAFOLD,Q-score,atom_inclusion,recommended_contour_level
EMD-19801,Structure of a yeast 48S-AUC preinitiation complex in closed conformation (model py48S-AUC-2),3.45,8s8d,"P38912,Q6CKL3,Q6CM18,Q6CWU3,F2Z602,Q6CWD0,Q6CNI7,P20459,Q6CMG3,P32481,Q6CTD6,Q6CNL2,Q875N2,Q6CN12,Q6CW78,Q6CWJ2,Q6CM04,P27069,Q6CIM1,Q6CRK7,Q6CRA3,Q6CU44,Q6CPG3,P33285,Q6CJK0,Q6CS01,Q6CVZ5,P69061,Q6CLU4,Q6CXT6,Q6CX80,Q6CUH5,P09064,Q6CW21,Q6CXM0,Q6CWT9,Q6CKV4","P38912,Q6CKL3,Q6CM18,Q6CWU3,F2Z602,Q6CWD0,Q6CNI7,P20459,Q6CMG3,P32481,Q6CTD6,Q6CNL2,Q875N2,Q6CN12,Q6CW78,Q6CWJ2,Q6CM04,P27069,Q6CIM1,Q6CRK7,Q6CRA3,Q6CU44,Q6CPG3,P33285,Q6CJK0,Q6CS01,Q6CVZ5,P69061,Q6CLU4,Q6CXT6,Q6CX80,Q6CUH5,P09064,Q6CW21,Q6CXM0,Q6CWT9,Q6CKV4",,,0.07
EMD-19802,Structure of a yeast 48S-AUC preinitiation complex in closed conformation (model py48S-AUC-3.1),3.85,8s8e,"P38912,Q6CKL3,Q6CM18,Q6CWU3,F2Z602,P38249,Q6CWD0,Q6CNI7,P20459,Q6CMG3,P32481,Q6CTD6,Q6CNL2,Q875N2,Q6CN12,Q6CW78,Q6CWJ2,Q6CM04,P27069,Q6CIM1,Q6CRK7,Q6CRA3,Q6CU44,Q6CPG3,P33285,Q6CJK0,Q6CS01,Q6CVZ5,P69061,Q6CLU4,Q6CXT6,Q6CX80,Q6CUH5,P09064,Q6CW21,Q6CXM0,Q6CWT9,Q6CKV4,P32497","P38912,Q6CKL3,Q6CM18,Q6CWU3,F2Z602,P38249,Q6CWD0,Q6CNI7,P20459,Q6CMG3,P32481,Q6CTD6,Q6CNL2,Q875N2,Q6CN12,Q6CW78,Q6CWJ2,Q6CM04,P27069,Q6CIM1,Q6CRK7,Q6CRA3,Q6CU44,Q6CPG3,P33285,Q6CJK0,Q6CS01,Q6CVZ5,P69061,Q6CLU4,Q6CXT6,Q6CX80,Q6CUH5,P09064,Q6CW21,Q6CXM0,Q6CWT9,Q6CKV4,P32497",,,0.07
EMD-19803,Structure of a yeast 48S-AUC preinitiation complex in closed conformation (model py48S-AUC-3.2),3.95,8s8f,"P38912,Q6CKL3,Q6CM18,Q6CWU3,F2Z602,Q6CWD0,Q6CNI7,P20459,Q6CMG3,P32481,Q6CTD6,Q6CNL2,Q875N2,Q6CN12,Q6CW78,Q6CWJ2,Q6CM04,P27069,Q6CIM1,Q6CRK7,Q6CRA3,Q6CU44,Q6CPG3,P33285,Q6CJK0,Q6CS01,Q6CVZ5,P32911,P69061,Q6CLU4,Q6CXT6,Q6CX80,Q6CUH5,P09064,Q6CW21,Q6CXM0,Q6CWT9,Q6CKV4","P38912,Q6CKL3,Q6CM18,Q6CWU3,F2Z602,Q6CWD0,Q6CNI7,P20459,Q6CMG3,P32481,Q6CTD6,Q6CNL2,Q875N2,Q6CN12,Q6CW78,Q6CWJ2,Q6CM04,P27069,Q6CIM1,Q6CRK7,Q6CRA3,Q6CU44,Q6CPG3,P33285,Q6CJK0,Q6CS01,Q6CVZ5,P32911,P69061,Q6CLU4,Q6CXT6,Q6CX80,Q6CUH5,P09064,Q6CW21,Q6CXM0,Q6CWT9,Q6CKV4",,,0.06
EMD-19541,Structure of a yeast 48S-AUC preinitiation complex in closed conformation,3.35,8rw1,"P38912,Q6CKL3,Q6CM18,Q6CWU3,F2Z602,Q6CWD0,Q6CNI7,P20459,Q6CMG3,P32481,Q6CTD6,Q6CNL2,Q875N2,Q6CN12,Q6CW78,Q6CWJ2,Q6CM04,P27069,Q6CIM1,Q6CRK7,Q6CRA3,Q6CU44,Q6CPG3,P33285,Q6CJK0,Q6CS01,Q6CVZ5,P69061,Q6CLU4,Q6CXT6,Q6CX80,Q6CUH5,P09064,Q6CW21,Q6CXM0,Q6CWT9,Q6CKV4","P38912,Q6CKL3,Q6CM18,Q6CWU3,F2Z602,Q6CWD0,Q6CNI7,P20459,Q6CMG3,P32481,Q6CTD6,Q6CNL2,Q875N2,Q6CN12,Q6CW78,Q6CWJ2,Q6CM04,P27069,Q6CIM1,Q6CRK7,Q6CRA3,Q6CU44,Q6CPG3,P33285,Q6CJK0,Q6CS01,Q6CVZ5,P69061,Q6CLU4,Q6CXT6,Q6CX80,Q6CUH5,P09064,Q6CW21,Q6CXM0,Q6CWT9,Q6CKV4",,,0.07
EMD-44671,The structure of human Pdcd4 bound to the 40S-eIF4A-eIF3-eIF1 complex,3.9,9bln,"Q14152,P62241,P62851,B4DXN6,P41567,O00303,P62753,P62273,P62847,P39019,P60228,P61247,P62263,O15371,Q9Y262,P62244,P63220,Q53EL6,P08708,P62266,Q99613,P08865,Q7L2H7,P62854,P62701,Q13347,P63244,P62081,P62280,P23396,P46783,O15372,Q9UBQ5,O75821,P60842,P62945,P62861,P25398,P46782,P15880,P62841,P62857,P42677,P62277,P62249,P62269,P62979,P60866,P46781","Q14152,P62241,P62851,B4DXN6,P41567,O00303,P62753,P62273,P62847,P39019,P60228,P61247,P62263,O15371,Q9Y262,P62244,P63220,Q53EL6,P08708,P62266,Q99613,P08865,Q7L2H7,P62854,P62701,Q13347,P63244,P62081,P62280,P23396,P46783,O15372,Q9UBQ5,O75821,P60842,P62945,P62861,P25398,P46782,P15880,P62841,P62857,P42677,P62277,P62249,P62269,P62979,P60866,P46781",,,0.015
EMD-41049,Cryo-EM studies of the interplay between uS2 ribosomal protein and leaderless mRNA during bacterial translation initiation,3.2,8t5d,"P02358,A0A2X1MT45,A0A0E2L017,B7MGC4,B7M1M1,P02359,W1EY92,P0AG51,A0A1X3JB59,S1EUY1,F4TL26,A1AGK6,A0A080IK26,A0A037Y8L6,S1EW51,A0A891SPC3,V0A2W7,S1E9P3,A0A0H3EQD3,D6IEK6,A0A8E0IYC4,A0A829CSJ4,A0A1X3KXD9,U9ZNW8,C3SR62,C3TRH7,C3SYP2,A0A5C9AJ78,P0ADY7,A0A7U9LGZ0,C3SQZ2,P60438,C3SSG7,S1PSA3,A0A0E2KZD0,D6IEL0,S1P5F8,V0Y888,D7XH79,D7XN21,P0A7R9,A0A2T1LEK9,L4J8J1,I2UHF1,A0A828U358,P61175,E9XJC8,A0A828UBL8","P02358,A0A2X1MT45,A0A0E2L017,B7MGC4,B7M1M1,P02359,W1EY92,P0AG51,A0A1X3JB59,S1EUY1,F4TL26,A1AGK6,A0A080IK26,A0A037Y8L6,S1EW51,V0A2W7,S1E9P3,A0A0H3EQD3,D6IEK6,A0A829CSJ4,U9ZNW8,A0A1X3KXD9,C3SR62,C3TRH7,A0A5C9AJ78,C3SYP2,P0ADY7,A0A7U9LGZ0,C3SQZ2,P60438,C3SSG7,S1PSA3,A0A0E2KZD0,D6IEL0,S1P5F8,V0Y888,D7XH79,D7XN21,P0A7R9,A0A2T1LEK9,L4J8J1,I2UHF1,A0A828U358,P61175,E9XJC8,A0A828UBL8",,,0.124
EMD-41050,Cryo-EM studies of the interplay between uS2 ribosomal protein and leaderless mRNA during bacterial translation initiation,3.3,8t5h,"P02358,A0A2X1MT45,A0A0E2L017,B7MGC4,B7M1M1,P02359,W1EY92,P0AG51,A0A1X3JB59,S1EUY1,F4TL26,A1AGK6,A0A080IK26,A0A037Y8L6,S1EW51,A0A891SPC3,V0A2W7,S1E9P3,A0A0H3EQD3,D6IEK6,A0A8E0IYC4,A0A829CSJ4,A0A1X3KXD9,C3SR62,C3TRH7,C3SYP2,P0ADY7,A0A7U9LGZ0,C3SQZ2,P60438,C3SSG7,S1PSA3,A0A0E2KZD0,D6IEL0,S1P5F8,V0Y888,D7XH79,D7XN21,P0A7R9,A0A2T1LEK9,L4J8J1,I2UHF1,A0A828U358,P61175,E9XJC8,A0A828UBL8","P02358,A0A2X1MT45,A0A0E2L017,B7MGC4,B7M1M1,P02359,W1EY92,P0AG51,A0A1X3JB59,S1EUY1,F4TL26,A1AGK6,A0A080IK26,A0A037Y8L6,S1EW51,V0A2W7,S1E9P3,A0A0H3EQD3,D6IEK6,A0A829CSJ4,C3SR62,A0A1X3KXD9,C3TRH7,C3SYP2,P0ADY7,A0A7U9LGZ0,C3SQZ2,P60438,C3SSG7,S1PSA3,A0A0E2KZD0,D6IEL0,S1P5F8,V0Y888,D7XH79,D7XN21,P0A7R9,A0A2T1LEK9,L4J8J1,I2UHF1,A0A828U358,P61175,E9XJC8,A0A828UBL8",,,0.255
EMD-50125,"Mammalian quaternary complex of a translating 80S ribosome, NAC, MetAP1 and NatA/E",3.78,9f1c,"G1T6D1,U3KPD5,G1SWI6,A0AAA9WX15,G1SIZ2,G1SE76,G1TKB3,G1SPK4,G1SY53,G1SKF7,G1TM55,G1SNY0,G1TT27,G1TNM3,G1SK22,G1T0C1,G1TSG1,G1TFM5,G1TTQ5,Q9BXJ9,G1TXF6,G1TUB8,G1TDL2,G1SP51,G1U7L1,G1SGX4,G1TUB1,G1SHG0,G1SGR6,G1SJB4,G1SZF4,P53582,G1TM82,G1U7M4,A0A087WNH4,G1SMR7,A0AAA9WVN6,G1U0Q2,G1SVW5,G1SCJ6,G1U001,G1TJR3,G1TL06,G1TU13,G1TPV3,G1TDB3,G1SF08,G1TN62,Q13765,P41227,G1TFE8,G1TIB4,A0AAA9WYR1,G1SFR8,B7NZQ2,G1SIT5,Q9GZZ1,G1SQH0,G1TTY7,G1T3D8,G1TLT8,G1TJW1,G1TTN1,G1TPG3,P0DXC2,G1TRM4,G1STW0,B7NZS8,G1TFE0,G1SS70,G1TZ76,G1SZ47,G1SVB0,G1TK17,G1SZ12,G1TG89,G1SE28,P20290,G1T8A2,G1SHQ2,G1TXG5,G1TVS8","G1T6D1,U3KPD5,G1SWI6,G1SIZ2,G1SE76,G1TKB3,G1SPK4,G1SY53,G1SKF7,G1TM55,G1SNY0,G1TT27,G1TNM3,G1SK22,G1T0C1,G1TSG1,G1TFM5,G1TTQ5,Q9BXJ9,G1TXF6,G1TUB8,G1TDL2,G1SP51,G1U7L1,G1SGX4,G1TUB1,G1SHG0,G1SGR6,G1SJB4,G1SZF4,P53582,G1TM82,G1U7M4,A0A087WNH4,G1SMR7,G1U0Q2,G1SVW5,G1SCJ6,G1U001,G1TJR3,G1TL06,G1TU13,G1TPV3,G1TDB3,G1SF08,G1TN62,Q13765,P41227,G1TFE8,G1TIB4,G1SFR8,B7NZQ2,G1SIT5,Q9GZZ1,G1SQH0,G1TTY7,G1T3D8,G1TLT8,G1TJW1,G1TTN1,G1TPG3,G1TRM4,G1STW0,B7NZS8,G1TFE0,G1SS70,G1TZ76,G1SZ47,G1SVB0,G1TK17,G1SZ12,G1TG89,G1SE28,P20290,G1T8A2,G1SHQ2,G1TXG5,G1TVS8",,,0.175
EMD-50124,"Mammalian ternary complex of a translating 80S ribosome, NAC and NatA/E",3.01,9f1b,"G1T6D1,U3KPD5,G1SWI6,A0AAA9WX15,G1SIZ2,G1SE76,G1TKB3,G1SPK4,G1SY53,G1SKF7,G1TM55,G1SNY0,G1TT27,G1TNM3,G1SK22,G1T0C1,G1TSG1,G1TFM5,G1TTQ5,Q9BXJ9,G1TXF6,G1TUB8,G1TDL2,G1U7L1,G1SP51,G1SGX4,G1TUB1,G1SHG0,G1SGR6,G1SJB4,G1SZF4,G1TM82,G1U7M4,A0A087WNH4,G1SMR7,G1U0Q2,G1SCJ6,G1SVW5,G1U001,G1TJR3,G1TL06,G1TU13,G1U6S0,G1TPV3,G1TDB3,G1SF08,G1TN62,Q13765,P41227,G1TFE8,G1TIB4,A0AAA9WYR1,G1SFR8,B7NZQ2,G1SIT5,Q9GZZ1,G1SQH0,G1TTY7,G1T3D8,G1TLT8,G1TJW1,G1TTN1,G1TPG3,P0DXC2,G1TRM4,G1STW0,B7NZS8,G1TFE0,G1SS70,G1TZ76,G1SZ47,G1SVB0,G1TK17,G1SZ12,G1TG89,P20290,G1SE28,G1T8A2,G1SHQ2,G1TXG5,G1TVS8","G1T6D1,U3KPD5,G1SWI6,G1SIZ2,G1SE76,G1TKB3,G1SPK4,G1SY53,G1SKF7,G1TM55,G1SNY0,G1TT27,G1TNM3,G1SK22,G1T0C1,G1TSG1,G1TFM5,G1TTQ5,Q9BXJ9,G1TXF6,G1TUB8,G1TDL2,G1U7L1,G1SP51,G1SGX4,G1TUB1,G1SHG0,G1SGR6,G1SJB4,G1SZF4,G1TM82,G1U7M4,A0A087WNH4,G1SMR7,G1U0Q2,G1SCJ6,G1SVW5,G1U001,G1TJR3,G1TL06,G1TU13,G1U6S0,G1TPV3,G1TDB3,G1SF08,G1TN62,Q13765,P41227,G1TFE8,G1TIB4,G1SFR8,B7NZQ2,G1SIT5,Q9GZZ1,G1SQH0,G1TTY7,G1T3D8,G1TLT8,G1TJW1,G1TTN1,G1TPG3,G1TRM4,G1STW0,B7NZS8,G1TFE0,G1SS70,G1TZ76,G1SZ47,G1SVB0,G1TK17,G1SZ12,G1TG89,P20290,G1SE28,G1T8A2,G1SHQ2,G1TXG5,G1TVS8",,,0.275
EMD-50126,"Mammalian quaternary complex of a translating 80S ribosome, NAC, MetAP1 and NatA/E-HYPK",3.26,9f1d,"G1T6D1,U3KPD5,G1SWI6,A0AAA9WX15,G1SIZ2,G1SE76,G1TKB3,G1SPK4,G1SY53,G1SKF7,G1TM55,G1SNY0,G1TT27,G1TNM3,G1SK22,G1T0C1,G1TSG1,G1TFM5,G1TTQ5,Q9BXJ9,G1TXF6,G1TUB8,G1TDL2,G1SP51,G1U7L1,G1SGX4,G1TUB1,G1SHG0,G1SGR6,G1SZF4,G1SJB4,P53582,G1TM82,G1U7M4,A0A087WNH4,G1SMR7,A0AAA9WVN6,G1U0Q2,G1SCJ6,G1SVW5,G1U001,G1TJR3,G1TL06,G1TU13,G1TPV3,G1TDB3,G1SF08,G1TN62,Q13765,P41227,G1TFE8,G1TIB4,A0AAA9WYR1,G1SFR8,B7NZQ2,G1SIT5,Q9GZZ1,G1SQH0,G1TTY7,G1T3D8,G1TLT8,G1TJW1,G1TTN1,G1TPG3,P0DXC2,G1TRM4,G1STW0,B7NZS8,G1TFE0,G1SS70,G1TZ76,G1SZ47,G1SVB0,G1TK17,G1SZ12,G1TG89,G1SE28,P20290,Q9NX55,G1T8A2,G1SHQ2,G1TXG5,G1TVS8","G1T6D1,U3KPD5,G1SWI6,G1SIZ2,G1SE76,G1TKB3,G1SPK4,G1SY53,G1SKF7,G1TM55,G1SNY0,G1TT27,G1TNM3,G1SK22,G1T0C1,G1TSG1,G1TFM5,G1TTQ5,Q9BXJ9,G1TXF6,G1TUB8,G1TDL2,G1SP51,G1U7L1,G1SGX4,G1TUB1,G1SHG0,G1SGR6,G1SJB4,G1SZF4,P53582,G1TM82,G1U7M4,A0A087WNH4,G1SMR7,G1U0Q2,G1SCJ6,G1SVW5,G1U001,G1TJR3,G1TL06,G1TU13,G1TPV3,G1TDB3,G1SF08,G1TN62,Q13765,P41227,G1TFE8,G1TIB4,G1SFR8,B7NZQ2,G1SIT5,Q9GZZ1,G1SQH0,G1TTY7,G1T3D8,G1TLT8,G1TJW1,G1TTN1,G1TPG3,G1TRM4,G1STW0,B7NZS8,G1TFE0,G1SS70,G1TZ76,G1SZ47,G1SVB0,G1TK17,G1SZ12,G1TG89,G1SE28,P20290,Q9NX55,G1T8A2,G1SHQ2,G1TXG5,G1TVS8",,,0.25
