title,resolution,emdb_id,fitted_pdbs,xref_UNIPROTKB,xref_ALPHAFOLD,Q-score,atom_inclusion,recommended_contour_level
Cryo-EM structure of yeast Rat1-bound Pol II pre-termination transcription complex 1 (Pol II Rat1-PTTC1),2.7,EMD-36162,8jch,"P34087,P27999,P53063,P20433,Q02792,P20435,P20436,P27692,P20434,P38902,P40422,P08518,P04050,P16370,P22139","P34087,P27999,P53063,P20433,Q02792,P20435,P20436,P27692,P20434,P38902,P40422,P08518,P04050,P16370,P22139",0.403,0.83,0.15
Cryo-EM Structure of K63 Ubiquitinated Yeast Translocating Ribosome under Oxidative Stress,3.2,EMD-22198,6xir,"P38011,P05740,A0A6A5PXU0,A0A6A5Q0D0,P05749,Q02753,P0CX29,A0A6A5PWR1,P0C2H8,P0CX51,A0A6A5PSE9,P05737,P0CX55,P14127,P07280,P04456,P87262,A0A6A5PWW7,P0CX35,A0A1L4AA68,Q12690,P04650,Q02326,A0A6A5PUZ5,P14120,A0A6A5Q3W0,Q08745,A0A6A5PY83,P05745,A0A6A5Q1M9,P26786,P0CX47,A0A6A5PV92,P0CX49,P0CX84,A0A6A5Q0W8,A0A6A5PUL8,P32905,A0A6A5Q0E8,P0CX41,A0A6A5Q3Q1,P39516,P49166,A0A6A5PWF7,P0CX37,P0CX45,P0CX27,P05744,A0A6A5Q700,P35997,P0CX82,P0CX25,A0A6A5Q627,A0A6A5PRY4,P36105,P05748,O13516,P0C2H6,P05756,P0C0V8,A0A6A5PZ18,A0A6A5Q1H1,A0A6A5PVE9,P05743,A0A6A5Q6F2,P02406,P0CX31,P26784,A0A6A5PYM2,P0CX23","P38011,P05740,P0CX29,P05749,Q02753,A0A6A5PWR1,P0C2H8,P0CX51,A0A6A5PSE9,P05737,P0CX55,P14127,P07280,P04456,P87262,P0CX35,A0A1L4AA68,Q12690,P04650,Q02326,A0A6A5PUZ5,P14120,A0A6A5Q3W0,Q08745,A0A6A5PY83,P05745,A0A6A5Q1M9,P26786,P0CX47,A0A6A5PV92,P0CX49,P0CX84,A0A6A5Q0W8,A0A6A5PUL8,P32905,A0A6A5Q0E8,P0CX41,A0A6A5Q3Q1,P39516,P49166,A0A6A5PWF7,P0CX37,P0CX45,P0CX27,P05744,A0A6A5Q700,P35997,P0CX82,P0CX25,A0A6A5Q627,A0A6A5PRY4,P36105,P05748,O13516,P0C2H6,P05756,P0C0V8,A0A6A5PZ18,A0A6A5Q1H1,A0A6A5PVE9,P05743,A0A6A5Q6F2,P02406,P0CX31,P26784,A0A6A5PYM2,P0CX23",0.405,0.913,1.6
Cryo-EM structure of Brr2 in complex with Fbp21,3.3,EMD-13045,7os1,"O75643,O75554","O75643,O75554",0.407,0.815,0.3
Cryo-EM structure of the activated spliceosome (Bact complex) at an atomic resolution of 2.5 angstrom,2.5,EMD-30637,7dco,"A0A6A5PW35,P20095,A0A6A5Q3N1,A0A6A5Q466,A0A6A5Q1K7,A0A6A5PW68,A0A6A5PTY9,A0A6A5PZG6,A0A6A5Q895,A0A6A5Q100,A0A6A5Q2G3,A0A6A5PQI0,A0A6A5Q641,Q03772,P0C074,A0A6L1AYM3,A0A6A5Q1E9,A0A6A5Q0W7,A0A6A5PUP5,A0A6A5PT67,A0A6A5Q0I3,Q07930,A0A6L0ZK95,A0A6A5Q318,A0A6A5Q2I8,P40204,A0A6A5Q155,A0A6A5Q0A4,Q02521,A0A6L1ALU2,A0A6A5PYD5,A0A6L0ZSI9,A0A6A5PSM1,A0A6A5Q3H8,P32524,A0A6L0ZMZ1,A0A6A5Q0Z2,Q03654,A0A6A5Q5K4,A0A6A5PZ67,A0A6A5PVM6,A0A6A5Q291","A0A6A5PW35,P20095,A0A6A5Q3N1,A0A6A5Q1K7,A0A6A5PZG6,A0A6A5Q895,A0A6A5Q2G3,Q03772,P0C074,A0A6A5PT67,Q07930,A0A6A5Q0I3,A0A6L0ZK95,A0A6A5Q318,P40204,A0A6A5Q155,Q02521,A0A6L0ZSI9,A0A6A5Q3H8,P32524,A0A6L0ZMZ1,Q03654,A0A6A5Q5K4,A0A6A5PVM6",0.408,0.553,0.015
"Cryo-EM structure of the 90S pre-ribosome from Saccharomyces cerevisiae, state Pre-A1",3.8,EMD-11359,6zqc,"Q12460,P42945,P38333,P36144,Q08492,Q06506,Q02354,Q06679,Q05946,Q05022,P0CX29,P06367,P40470,P0CX51,P25368,P40055,P0CX55,P53276,P53914,Q04177,Q12220,P0CX35,Q04305,P33750,P0CX39,P53254,Q12136,Q12035,Q02931,P40546,P26786,P25586,P33442,P0CX47,Q3E7X9,Q05498,P32899,P47083,P48234,Q99207,Q08965,P0CX37,P39990,P53941,P38882,P34247,P0C0W1,P35997,Q06631,P15646,P05756,O13516,P26783,Q04500,Q12499,P40362,Q06512,P0CX31,P25635,Q99216,Q06078,P35194,Q06287,Q08096","Q12460,P42945,P38333,P36144,Q08492,Q06506,Q02354,Q06679,Q05946,Q05022,P0CX29,P06367,P40470,P0CX51,P25368,P40055,P0CX55,P53276,P53914,Q04177,Q12220,P0CX35,Q04305,P33750,P0CX39,P53254,Q12136,Q12035,Q02931,P40546,P26786,P25586,P33442,P0CX47,Q3E7X9,Q05498,P32899,P47083,P48234,Q99207,Q08965,P0CX37,P39990,P53941,P38882,P34247,P0C0W1,P35997,Q06631,P15646,P05756,O13516,P26783,Q04500,Q12499,P40362,Q06512,P0CX31,P25635,Q99216,Q06078,P35194,Q06287,Q08096",0.41,0.963,0.01
Cryo-EM map of the Candida albicans 80S ribosome in complex with anisomycin,2.77,EMD-13749,7q0p,"O42817,A0A1D8PLC9,Q5AJ93,P9WER7,A0A1D8PN83,A0A1D8PI15,A0A1D8PK22,A0A1D8PQN0,A0A1D8PG16,A0A1D8PK71,A0A1D8PF57,Q5A7K0,A0A1D8PFG4,A0A1D8PPE0,P0CU35,A0A1D8PNQ6,A0A1D8PK40,Q5A900,Q5A389,A0A1D8PDU3,A0A1D8PM75,Q5ALV6,Q5AGZ7,A0A1D8PDT4,O59931,A0A1D8PL99,A0A1D8PH21,A0A1D8PCX8,Q5A6R1,A0A1D8PSC5,A0A1D8PGY8,A0A1D8PDT3,A0A1D8PK61,Q5ANA1,A0A1D8PTR4,Q59LS1,P83774,A0A1D8PSV5,Q5ADQ6,Q59T44,P40910,A0A1D8PCW6,Q5A109,A0A1D8PPS1,A0A1D8PCG7,A0A1D8PCI6,A0A1D8PTI7,A0A1D8PPN6,Q5AG43,A0A1D8PSK2,A0A1D8PEY9,A0A1D8PF45,A0A1D8PQQ5,Q5AIB8","O42817,A0A1D8PLC9,Q5AJ93,A0A1D8PK22,A0A1D8PN83,A0A1D8PI15,A0A1D8PQN0,A0A1D8PG16,A0A1D8PK71,A0A1D8PF57,Q5A7K0,A0A1D8PFG4,A0A1D8PPE0,P0CU35,A0A1D8PNQ6,A0A1D8PK40,Q5A900,Q5A389,A0A1D8PDU3,A0A1D8PM75,Q5ALV6,Q5AGZ7,A0A1D8PDT4,O59931,A0A1D8PL99,A0A1D8PH21,A0A1D8PCX8,Q5A6R1,A0A1D8PSC5,A0A1D8PGY8,A0A1D8PDT3,A0A1D8PK61,Q5ANA1,A0A1D8PTR4,Q59LS1,P83774,A0A1D8PSV5,Q5ADQ6,Q59T44,P40910,A0A1D8PCW6,Q5A109,A0A1D8PPS1,A0A1D8PCG7,A0A1D8PCI6,A0A1D8PTI7,A0A1D8PPN6,Q5AG43,A0A1D8PSK2,A0A1D8PEY9,A0A1D8PF45,A0A1D8PQQ5,Q5AIB8",0.41,0.568,0.55
Nog1-TAP associated immature ribosomal particle population A from S. cerevisiae,3.1,EMD-12866,7of1,"P05738,P40078,P05740,Q02892,P05749,Q02753,P38061,P0C2H8,P05737,P04456,P87262,Q12690,P04650,Q02326,P33201,P14120,P05745,P49167,P0CX49,P14126,P0CX84,P0CX41,Q07915,P49166,Q12522,P0CX45,P05744,P0CX82,P0CX25,P53742,P10664,P36105,P05748,P0C2H6,P17076,P05743,P02406,P26784,P0CX23","P05738,P40078,P05740,Q02892,P05749,Q02753,P38061,P0C2H8,P05737,P04456,P87262,Q12690,P04650,Q02326,P33201,P14120,P05745,P49167,P0CX49,P14126,P0CX84,P0CX41,Q07915,P49166,Q12522,P0CX45,P05744,P0CX82,P0CX25,P53742,P10664,P36105,P05748,P0C2H6,P17076,P05743,P02406,P26784,P0CX23",0.411,0.89,0.016
Cryo-EM structure of yeast Rat1-bound Pol II pre-termination transcription complex 2 (Pol II Rat1-PTTC2),2.8,EMD-36908,8k5p,"P34087,P27999,P53063,P20433,Q02792,P20435,P20436,P27692,P20434,P38902,P40422,P08518,P04050,P16370,P22139","P34087,P27999,P53063,P20433,Q02792,P20435,P20436,P27692,P20434,P38902,P40422,P08518,P04050,P16370,P22139",0.412,0.878,0.15
Structure of the U11 snRNP C-lobe,3.0,EMD-51233,9gcl,"P62314,P62308,P62306,Q6IEG0,Q9UDW3,P62318,P62316,P14678,P62304","P62314,P62308,P62306,Q6IEG0,Q9UDW3,P62318,P62316,P14678,P62304",0.413,0.791,0.05
Human nuclear exosome-MTR4 RNA complex - overall reconstruction,3.45,EMD-7808,6d6q,"Q5RKV6,Q96B26,Q9Y3B2,Q99547,Q9Y2L1,Q01780,Q9NQT5,Q13868,Q9NPD3,Q06265,Q9NQT4,P42285,Q15024","Q5RKV6,Q96B26,Q9Y3B2,Q99547,Q9Y2L1,Q01780,Q9NQT5,Q13868,Q9NPD3,Q06265,Q9NQT4,P42285,Q15024",0.413,0.598,0.025
