title,resolution,emdb_id,fitted_pdbs,xref_UNIPROTKB,xref_ALPHAFOLD,Q-score,atom_inclusion,recommended_contour_level
Cryo-EM structure of the thermophile spliceosome (state B*Q1),2.9,EMD-62842,9l5s,"G0S4I7,G0SFY0,G0S620,G0S4Q2,G0RZZ0,G0S754,G0SFN9,G0S0H7,G0S1V3,G0S2N1,G0S7S7,G0SI53,G0SG70,G0RY82,G0S066,G0S5N3,G0SHQ3,G0SI54,G0RZL0,G0S9U7,G0RYD8,G0S8J0,G0S405,G0S8A6,G0S5W9,G0SF87,G0SDM8,G0RZD6,G0SDJ6","G0S4I7,G0SFY0,G0S620,G0S4Q2,G0RZZ0,G0S754,G0S0H7,G0S1V3,G0S2N1,G0S7S7,G0SI53,G0SG70,G0RY82,G0S066,G0S5N3,G0SHQ3,G0SI54,G0RZL0,G0S9U7,G0RYD8,G0S8J0,G0S405,G0S8A6,G0S5W9,G0SF87,G0SDM8,G0RZD6,G0SDJ6",0.352,0.918,0.0035
Cryo-EM structure of the thermophile spliceosome (state ILS),2.8,EMD-62841,9l5r,"G0RZD9,G0SFY0,G0S620,G0S4Q2,G0S754,G0SFN9,G0S0H7,G0S1V3,G0S730,G0S2N1,G0S7S7,G0SG70,G0SI53,G0RY82,G0S394,G0S066,G0S5N3,G0SHQ3,G0SBL9,G0SI54,G0RZL0,G0S9U7,G0RYD8,G0S8J0,G0S405,G0S8A6,G0RZE2,G0SF87,G0RY84,G0S6F0,G0SDM8,G0SDJ6","G0RZD9,G0SFY0,G0S620,G0S4Q2,G0S754,G0S0H7,G0S1V3,G0S730,G0S2N1,G0S7S7,G0SG70,G0SI53,G0RY82,G0S394,G0S066,G0S5N3,G0SHQ3,G0SBL9,G0SI54,G0RZL0,G0S9U7,G0RYD8,G0S8J0,G0S405,G0S8A6,G0RZE2,G0SF87,G0RY84,G0S6F0,G0SDM8,G0SDJ6",0.378,0.919,0.005
Cryo-EM structure of the thermophile spliceosome (state B*Q2),3.5,EMD-62843,9l5t,"G0S4I7,G0RZD9,G0SFY0,G0S620,G0S4Q2,G0SFN9,G0S754,G0S0H7,G0S1V3,G0S2N1,G0S7S7,G0SI53,G0SG70,G0RY82,G0S066,G0S5N3,G0SHQ3,G0SI54,G0RZL0,G0S9U7,G0RYD8,G0S8J0,G0S405,G0S8A6,G0S5W9,G0SF87,G0RY84,G0SDM8,G0RZD6,G0SDJ6","G0S4I7,G0RZD9,G0SFY0,G0S620,G0S4Q2,G0S754,G0S0H7,G0S1V3,G0S2N1,G0S7S7,G0SI53,G0SG70,G0RY82,G0S066,G0S5N3,G0SHQ3,G0SI54,G0RZL0,G0S9U7,G0RYD8,G0S8J0,G0S405,G0S8A6,G0S5W9,G0SF87,G0RY84,G0SDM8,G0RZD6,G0SDJ6",0.331,0.789,0.005
PRMT5:MEP50 WITH SCR-6920 AND SAM,3.16,EMD-38091,8x6l,"O14744,Q9BQA1","O14744,Q9BQA1",0.515,0.824,0.144
Cryo-EM structure of PRMT5/WDR77 in complex with 6S complex,3.06,EMD-47477,9e3b,"P62314,P54105,O14744,Q9BQA1","P62314,P54105,O14744,Q9BQA1",0.512,0.802,0.06
Cryo-EM structure of PRMT5/WDR77 in complex with 6S complex (GRG local refine),3.19,EMD-47478,9e3c,"P62314,O14744","P62314,O14744",0.508,0.792,0.2
Cryo-EM structure of PRMT5/WDR77 in complex with 6S complex (pICln PBM local refinement),3.36,EMD-47476,9e3a,"P54105,O14744,Q9BQA1","P54105,O14744,Q9BQA1",0.48,0.778,0.3
Structure of the U11 snRNP core,3.1,EMD-51234,9gcm,"Q16560,Q8N8D1,Q9BV90","Q16560,Q8N8D1,Q9BV90",0.414,0.765,0.065
Overall structure of the U11 snRNP,3.4,EMD-18984,8r7n,"Q16560,P62314,P62308,P62306,Q6IEG0,Q8N8D1,Q9UDW3,P62318,P62316,Q9BV90,P14678,P62304","Q16560,P62314,P62308,P62306,Q6IEG0,Q8N8D1,Q9UDW3,P62318,P62316,Q9BV90,P14678,P62304",0.306,0.791,0.035
Overall structure of the substrate-bound U11 snRNP,3.5,EMD-51223,9gbw,"Q16560,P62314,P62308,P62306,Q6IEG0,Q8N8D1,Q9UDW3,P62318,P62316,Q9BV90,P14678,P62304","Q16560,P62314,P62308,P62306,Q6IEG0,Q8N8D1,Q9UDW3,P62318,P62316,Q9BV90,P14678,P62304",0.32,0.743,0.018
