title,resolution,emdb_id,fitted_pdbs,xref_UNIPROTKB,xref_ALPHAFOLD,Q-score,atom_inclusion,recommended_contour_level
Structure of the human THO - UAP56 complex (Map B),3.3,EMD-11857,7apk,"Q96FV9,Q96J01,Q13769,Q86W42,Q8NI27,Q6I9Y2,Q13838","Q96FV9,Q96J01,Q13769,Q86W42,Q8NI27,Q6I9Y2,Q13838",0.051,0.086,0.05257
Structure of the human TREX core THO-UAP56 complex (map D),3.45,EMD-14808,7znl,"Q96FV9,Q96J01,Q13769,Q86W42,Q8NI27,Q6I9Y2,Q13838","Q96FV9,Q96J01,Q13769,Q86W42,Q8NI27,Q6I9Y2,Q13838",0.069,0.087,0.9
Local map for reduced central region of the yeast spliceosome at 3.96 angstrom resolution,3.96,EMD-6419,3jb9,,,0.081,0.326,0.0199
The cryo-EM structure of yeast spliceosomal U4/U6.U5 tri-snRNP (improved map for U5 Snu114 region at 3.77 A),3.77,EMD-6570,3jcm,,,0.104,0.582,0.013
Local map for reduced Spp42 region of the yeast spliceosome at 3.52 angstrom resolution,3.52,EMD-6415,3jb9,,,0.127,0.647,0.013
"Structure of an endogenous human TREX complex bound to mRNA, composite map",3.9,EMD-14804,7znk,"Q86V81,Q96FV9,Q96J01,Q13769,Q86W42,Q8NI27,Q6I9Y2,Q13838","Q86V81,Q96FV9,Q96J01,Q13769,Q86W42,Q8NI27,Q6I9Y2,Q13838",0.139,0.551,1.0
The cryo-EM structure of yeast spliceosomal U4/U6.U5 tri-snRNP (improved map for Prp4 WD40 region at 3.70 A),3.7,EMD-6568,3jcm,,,0.141,0.515,0.0169
The cryo-EM structure of yeast spliceosomal U4/U6.U5 tri-snRNP (improved map for U5 RNA region at 3.70 A),3.77,EMD-6569,3jcm,,,0.147,0.664,0.011
Prespliceosome structure provides insight into spliceosome assembly and regulation (map A2),4.0,EMD-4364,6g90,"Q04693,P43321,P32605,P40567,P53207,Q12330,P49955,Q03776,Q06835,P54999,Q08963,P19736,P0C074,Q06217,Q07508,Q99181,Q05900,P40204,Q00916,Q03782,Q00539,Q02260,P32524,P40018,Q07350,P39682,Q02554","Q04693,P43321,P32605,P40567,P53207,Q12330,P49955,Q03776,Q06835,P54999,Q08963,P19736,P0C074,Q06217,Q07508,Q99181,Q05900,P40204,Q00916,Q03782,Q00539,Q02260,P32524,P40018,Q07350,P39682,Q02554",0.152,0.279,0.0369
The cryo-EM structure of the human pre-A complex,3.0,EMD-32074,7vpx,"P62314,P62316,Q15637,O75533,P09661,P09012,Q15459,P62308,P09234,P14678,Q15428,Q7L014,Q13435,Q9BWJ5,Q7RTV0,P08621,P08579,P62318,P62304,Q15393,Q12874,P62306,Q15427,O75937","P62314,P62316,Q15637,O75533,P09661,P09012,Q15459,P62308,P09234,P14678,Q15428,Q7L014,Q13435,Q9BWJ5,Q7RTV0,P08621,P08579,P62318,P62304,Q15393,Q12874,P62306,Q15427,O75937",0.155,0.413,0.25
Local map for reduced Cwf10/Sm region of the yeast spliceosome at 3.44 angstrom resolution,3.44,EMD-6417,3jb9,,,0.157,0.612,0.0138
Cryo-EM structure of the yeast pre-B complex at an average resolution of 3.4~4.6 angstrom (tri-snRNP and U2 snRNP Part),3.4,EMD-6972,5zwm,"P49704,Q04693,P20053,P43321,P57743,P40567,Q12330,P36048,P46947,P49955,Q06835,P33334,P40089,Q08963,P19736,P0C074,Q06217,P32639,Q99181,P40565,P19735,Q07930,P40204,Q06819,Q03338,P39990,Q12420,Q06406,P40070,P38203,Q02260,P32524,P53905,P40018,P47093,Q07350,P54999,Q02554","P49704,Q04693,P20053,P43321,P57743,P40567,Q12330,P36048,P46947,P49955,Q06835,P33334,P40089,Q08963,P19736,P0C074,Q06217,P32639,Q99181,P40565,P19735,Q07930,P40204,Q06819,Q03338,P39990,Q12420,Q06406,P40070,P38203,Q02260,P32524,P53905,P40018,P47093,Q07350,P54999,Q02554",0.162,0.505,0.023
The cryo-EM structure of yeast spliceosomal U4/U6.U5 tri-snRNP (improved map for Prp31 region at 3.52 A),3.52,EMD-6564,3jcm,,,0.174,0.422,0.023
Local map for Cwf10/Sm region of the yeast spliceosome at 3.30 angstrom resolution,3.3,EMD-6416,3jb9,,,0.174,0.631,0.0139
The cryo-EM structure of yeast spliceosomal U4/U6.U5 tri-snRNP (improved map for Prp4 region at 3.61 A),3.61,EMD-6567,3jcm,,,0.178,0.438,0.0215
