title,resolution,emdb_id,fitted_pdbs,sample_info_string,xref_UNIPROTKB,RCSB_classification,Q-score
Stx2a and DARPin complex,6.5,EMD-26563,7ujj,"SODIUM ION	ligand	2.299e-05,FORMIC ACID	ligand	4.6024999999999994e-05,Shiga-like toxin 2 subunit A	protein_or_peptide	0.033228215	Escherichia phage 933W_10730,3-PYRIDINIUM-1-YLPROPANE-1-SULFONATE	ligand	0.00020124299999999998,Ternary complex of stx2 and DARPin	complex_supramolecule		Escherichia phage 933W_10730,Shiga-like toxin 2 subunit A	complex_supramolecule	,water	ligand	1.8015e-05,1\,2-ETHANEDIOL	ligand	6.206799999999999e-05,DARPin	protein_or_peptide	0.019863409999999998	Synthetic construct_32630,Shiga-like toxin 2 subunit B	complex_supramolecule	,DARPin	complex_supramolecule	,Shiga-like toxin 2 subunit B	protein_or_peptide	0.00782459	Escherichia phage 933W_10730","P09386,P09385",ANTITOXIN,0.041
Nucleotide-driven Triple-state Remodeling of the AAA-ATPase Channel in the Activated Human 26S Proteasome,7,EMD-8667,5vft,"26S proteasome regulatory subunit 8	protein_or_peptide	0.043114	Homo sapiens_9606,Proteasome subunit beta type-5	protein_or_peptide	0.022199072	Homo sapiens_9606,Proteasome subunit alpha type-7	protein_or_peptide	0.027382178	Homo sapiens_9606,26S proteasome regulatory subunit 7	protein_or_peptide	0.040494668	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 3	protein_or_peptide	0.054755656	Homo sapiens_9606,Proteasome subunit alpha type-5	protein_or_peptide	0.025569957	Homo sapiens_9606,Proteasome subunit beta type-6	protein_or_peptide	0.020471129	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 2	protein_or_peptide	0.100313625	Homo sapiens_9606,Proteasome subunit alpha type-3	protein_or_peptide	0.0272871	Homo sapiens_9606,Proteasome subunit beta type-3	protein_or_peptide	0.022841701	Homo sapiens_9606,ZINC ION	ligand	6.5409e-05,sem1	protein_or_peptide	0.006756086	Homo sapiens_9606,26S proteasome regulatory subunit 6B	protein_or_peptide	0.043303543	Homo sapiens_9606,Proteasome subunit alpha type-4	protein_or_peptide	0.028118189	Homo sapiens_9606,Proteasome subunit beta type-4	protein_or_peptide	0.023994324	Homo sapiens_9606,26S proteasome regulatory subunit 6A	protein_or_peptide	0.042104242	Homo sapiens_9606,Proteasome subunit alpha type-1	protein_or_peptide	0.026728428	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 1	protein_or_peptide	0.10126318	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 4	protein_or_peptide	0.020866023	Homo sapiens_9606,26S proteasome bound to ATP-gammaS	complex_supramolecule		Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 11	protein_or_peptide	0.042868555	Homo sapiens_9606,Proteasome subunit alpha type-6	protein_or_peptide	0.026727658	Homo sapiens_9606,Proteasome subunit beta type-7	protein_or_peptide	0.023745256	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 12	protein_or_peptide	0.052979359	Homo sapiens_9606,Proteasome subunit beta type-1	protein_or_peptide	0.023578986	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 14	protein_or_peptide	0.032329355	Homo sapiens_9606,Proteasome (Prosome\, macropain) 26S subunit\, non-ATPase\, 13\, isoform CRA_a	protein_or_peptide	0.042592875	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 8	protein_or_peptide	0.030039699	Homo sapiens_9606,26S proteasome regulatory subunit 10B	protein_or_peptide	0.039840891	Homo sapiens_9606,Proteasome subunit alpha type-2	protein_or_peptide	0.02572526	Homo sapiens_9606,Proteasome subunit beta type-2	protein_or_peptide	0.022720146	Homo sapiens_9606,26S proteasome regulatory subunit 4	protein_or_peptide	0.038025398	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 7	protein_or_peptide	0.032382094	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 6	protein_or_peptide	0.044336906	Homo sapiens_9606","P51665,P48556,P28074,P20618,P60900,Q15008,O00232,P28066,Q13200,P28070,P43686,P49721,P25788,O00231,O14818,P25789,P35998,P28072,P60896,P17980,P25787,P62333,Q9UNM6,Q99436,O00487",HYDROLASE,0.086
Nucleotide-driven Triple-state Remodeling of the AAA-ATPase Channel in the Activated Human 26S Proteasome,5.8,EMD-8668,5vfu,"26S protease regulatory subunit 10B	protein_or_peptide	0.039840891	Homo sapiens_9606,Proteasome subunit beta type-5	protein_or_peptide	0.022199072	Homo sapiens_9606,Proteasome subunit alpha type-7	protein_or_peptide	0.027382178	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 3	protein_or_peptide	0.054755656	Homo sapiens_9606,Proteasome subunit beta type-6	protein_or_peptide	0.020471129	Homo sapiens_9606,26S protease regulatory subunit 6B	protein_or_peptide	0.04330354299999999	Homo sapiens_9606,26S protease regulatory subunit 7	protein_or_peptide	0.040494668	Homo sapiens_9606,Proteasome subunit alpha type-2	protein_or_peptide	0.025725259999999996	Homo sapiens_9606,Proteasome subunit beta type-3	protein_or_peptide	0.022841701	Homo sapiens_9606,Proteasome subunit alpha type-6	protein_or_peptide	0.026727657999999998	Homo sapiens_9606,ZINC ION	ligand	6.5409e-05,Proteasome subunit alpha type-3	protein_or_peptide	0.027287099999999998	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 13	protein_or_peptide	0.042592874999999995	Homo sapiens_9606,Proteasome subunit alpha type-4	protein_or_peptide	0.028118189	Homo sapiens_9606,Proteasome subunit beta type-4	protein_or_peptide	0.023994324	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 11	protein_or_peptide	0.042868554999999996	Homo sapiens_9606,Proteasome subunit alpha type-1	protein_or_peptide	0.026728428	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 1	protein_or_peptide	0.10126318	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 4	protein_or_peptide	0.020866023	Homo sapiens_9606,26S protease regulatory subunit 6A	protein_or_peptide	0.04210424199999999	Homo sapiens_9606,Proteasome subunit beta type-7	protein_or_peptide	0.023745256	Homo sapiens_9606,26S protease regulatory subunit 8	protein_or_peptide	0.043114	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 12	protein_or_peptide	0.052979359	Homo sapiens_9606,Sem1	protein_or_peptide	0.008284611	Homo sapiens_9606,26S proteasome bound to ATPgammaS	complex_supramolecule		Homo sapiens_9606,26S protease regulatory subunit 4	protein_or_peptide	0.038799266	Homo sapiens_9606,Proteasome subunit beta type-1	protein_or_peptide	0.023578986	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 14	protein_or_peptide	0.032329355	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 8	protein_or_peptide	0.030039699	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 2	protein_or_peptide	0.10031362499999999	Homo sapiens_9606,Proteasome subunit beta type-2	protein_or_peptide	0.022720146	Homo sapiens_9606,Proteasome subunit alpha type-5	protein_or_peptide	0.025569956999999997	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 7	protein_or_peptide	0.032382094	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 6	protein_or_peptide	0.044336906	Homo sapiens_9606","P51665,P48556,P28074,P20618,P60900,Q15008,O00232,P28066,Q13200,P28070,P43686,P49721,P25788,O00231,O14818,P25789,P35998,P28072,P60896,P17980,P25787,P62333,Q9UNM6,Q99436,O00487",HYDROLASE,0.098
Structure of mammalian eIF3 in the context of the 43S preinitiation complex,6,EMD-3056,5a5t,"eukaryotic initiation factor 1A	protein_or_peptide		Oryctolagus cuniculus_9986,eIF3 octamer core of Rabbit eIF3	sample_supramolecule	0.45,eukaryotic initiation factor 1	protein_or_peptide		Oryctolagus cuniculus_9986,40S small ribosomal subunit	complex_supramolecule		Oryctolagus cuniculus_9986,eukaryotic initiation factor 3	protein_or_peptide		Oryctolagus cuniculus_9986,eukaryotic initiation factor 2	protein_or_peptide		Oryctolagus cuniculus_9986,DHX29	protein_or_peptide		Oryctolagus cuniculus_9986,initiator transfer RNA	rna		Oryctolagus cuniculus_9986",G1SMZ5,HYDROLASE,0.107
The human 26S Proteasome at 6.8 Ang.,6.8,EMD-4089,5ln3,"26S proteasome non-ATPase regulatory subunit 11	protein_or_peptide	0.047526688	Homo sapiens_9606,Proteasome subunit alpha type-1	protein_or_peptide	0.029595627	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 3	protein_or_peptide	0.061066499999999996	Homo sapiens_9606,26S proteasome complex subunit DSS1	protein_or_peptide	0.008284611	Homo sapiens_9606,Proteasome subunit alpha type-7	protein_or_peptide	0.027929891	Homo sapiens_9606,26S protease regulatory subunit 7	protein_or_peptide	0.048700805	Homo sapiens_9606,Proteasome subunit alpha type-5	protein_or_peptide	0.026435977	Homo sapiens_9606,Proteasome subunit alpha type-4	protein_or_peptide	0.029525842	Homo sapiens_9606,26S protease regulatory subunit 6A	protein_or_peptide	0.049266457	Homo sapiens_9606,Proteasome subunit alpha type-3	protein_or_peptide	0.028469252	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 13	protein_or_peptide	0.042995359	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 14	protein_or_peptide	0.034620023	Homo sapiens_9606,Proteasome subunit beta type-6	protein_or_peptide	0.025377651999999997	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 1	protein_or_peptide	0.105958234	Homo sapiens_9606,Proteasome subunit beta type-4	protein_or_peptide	0.029231178	Homo sapiens_9606,Proteasome subunit beta type-3	protein_or_peptide	0.022972896	Homo sapiens_9606,Proteasome subunit beta type-5	protein_or_peptide	0.028510248	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 6	protein_or_peptide	0.045592285	Homo sapiens_9606,Proteasome subunit alpha type-6	protein_or_peptide	0.027432459	Homo sapiens_9606,Proteasome subunit beta type-7	protein_or_peptide	0.030000418	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 12	protein_or_peptide	0.052979359	Homo sapiens_9606,26S protease regulatory subunit 6B	protein_or_peptide	0.047426141	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 4	protein_or_peptide	0.04078158999999999	Homo sapiens_9606,26S protease regulatory subunit 8	protein_or_peptide	0.045694046999999995	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 2	protein_or_peptide	0.10031362499999999	Homo sapiens_9606,Human 26S Proteasome	complex_supramolecule	2.5	Homo sapiens_9606,26S protease regulatory subunit 10B	protein_or_peptide	0.044241008	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 8	protein_or_peptide	0.039667871	Homo sapiens_9606,26S protease regulatory subunit 4	protein_or_peptide	0.049260504	Homo sapiens_9606,Proteasome subunit beta type-1	protein_or_peptide	0.026522396	Homo sapiens_9606,Proteasome subunit alpha type-2	protein_or_peptide	0.025927534999999998	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 7	protein_or_peptide	0.037086441	Homo sapiens_9606,Proteasome subunit beta type-2	protein_or_peptide	0.022864277	Homo sapiens_9606","P51665,P48556,P25786,P28074,Q99460,P55036,P20618,P60900,Q15008,O00232,P28066,Q13200,P28070,P43686,P49721,P25788,O00231,O14818,P25789,P35998,P28072,P60896,P17980,P25787,P62333,P49720,Q9UNM6,P62195,O43242,P62191,Q99436,O00487",HYDROLASE,0.141
SD-like state of human 26S Proteasome with non-cleavable M1-linked hexaubiquitin and E3 ubiquitin ligase E6AP/UBE3A,5.7,EMD-21696,6wjn,"26S proteasome regulatory subunit 10B	protein_or_peptide	0.042548077999999996	Homo sapiens_9606,Proteasome subunit beta type-5	protein_or_peptide	0.022199072	Homo sapiens_9606,PHOSPHOTHIOPHOSPHORIC ACID-ADENYLATE ESTER	ligand	0.0005232469999999999,Proteasome subunit alpha type-7	protein_or_peptide	0.027382178	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 3	protein_or_peptide	0.054755656	Homo sapiens_9606,Proteasome subunit beta type-6	protein_or_peptide	0.020471129	Homo sapiens_9606,Proteasome subunit alpha type-2	protein_or_peptide	0.025725259999999996	Homo sapiens_9606,26S proteasome regulatory subunit 8	protein_or_peptide	0.044034086	Homo sapiens_9606,SD-like state of human 26S Proteasome with non-cleavable M1-linked hexaubiquitin and E3 ubiquitin ligase E6AP/UBE3A	complex_supramolecule		Homo sapiens_9606,Proteasome subunit beta type-3	protein_or_peptide	0.022841701	Homo sapiens_9606,Proteasome subunit alpha type-6	protein_or_peptide	0.026727657999999998	Homo sapiens_9606,ZINC ION	ligand	6.5409e-05,Proteasome subunit alpha type-3	protein_or_peptide	0.027287099999999998	Homo sapiens_9606,Proteasome subunit alpha type-4	protein_or_peptide	0.028118189	Homo sapiens_9606,Proteasome subunit beta type-4	protein_or_peptide	0.023994324	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 11	protein_or_peptide	0.042868554999999996	Homo sapiens_9606,Proteasome subunit alpha type-1	protein_or_peptide	0.026728428	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 1	protein_or_peptide	0.10126318	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 4	protein_or_peptide	0.020866023	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 13	protein_or_peptide	0.042619897999999996	Homo sapiens_9606,Proteasome subunit beta type-7	protein_or_peptide	0.023745256	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 12	protein_or_peptide	0.052979359	Homo sapiens_9606,26S proteasome complex subunit SEM1	protein_or_peptide	0.008284611	Homo sapiens_9606,Proteasome subunit beta type-1	protein_or_peptide	0.023578986	Homo sapiens_9606,26S proteasome regulatory subunit 6B	protein_or_peptide	0.04330354299999999	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 14	protein_or_peptide	0.032329355	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 8	protein_or_peptide	0.030039699	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 2	protein_or_peptide	0.10031362499999999	Homo sapiens_9606,Proteasome subunit beta type-2	protein_or_peptide	0.022720146	Homo sapiens_9606,26S proteasome regulatory subunit 6A	protein_or_peptide	0.044378	Homo sapiens_9606,Proteasome subunit alpha type-5	protein_or_peptide	0.025569956999999997	Homo sapiens_9606,26S proteasome regulatory subunit 7	protein_or_peptide	0.044823457	Homo sapiens_9606,26S proteasome regulatory subunit 4	protein_or_peptide	0.043890245999999994	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 7	protein_or_peptide	0.032382094	Homo sapiens_9606,26S proteasome non-ATPase regulatory subunit 6	protein_or_peptide	0.044336906	Homo sapiens_9606","P51665,P48556,P25786,P28074,Q99460,P55036,P20618,P60900,Q15008,O00232,P28066,Q13200,P28070,P43686,P49721,P25788,O00231,O14818,P25789,P35998,P28072,P60896,P17980,P25787,P62333,P49720,Q9UNM6,P62195,O43242,P62191,Q99436,O00487",HYDROLASE/PROTEIN BINDING,0.174
Cryo-EM density map of the human PLC editing module,5.8,EMD-3906,6eny,"Protein disulfide-isomerase A3	protein_or_peptide	0.054341101999999995	Homo sapiens_9606,Tapasin	protein_or_peptide	0.045761183999999996	Homo sapiens_9606,Calreticulin	protein_or_peptide	0.04650714499999999	Homo sapiens_9606,Protein Complex	complex_supramolecule		Homo sapiens_9606,Beta-2-microglobulin	protein_or_peptide	0.011748159999999999	Homo sapiens_9606,HLA class I histocompatibility antigen\, A-3 alpha chain	protein_or_peptide	0.038363535000000004	Homo sapiens_9606","P04439,O15533,P30101,P27797,P61769",IMMUNE SYSTEM,0.171
Cryo-EM map of Trigger Factor bound to a translating ribosome,7.7,EMD-2695,4urd,"TnaC-stalled-RNC with Trigger factor	sample_supramolecule	,Trigger factor	protein_or_peptide	0.048	Escherichia coli_562,cytosolic 70S ribosome	complex_supramolecule		Escherichia coli_562",P0A850,ISOMERASE,0.042
Cryo-EM Structure of the DDB1-DCAF1-CUL4A-RBX1 Complex,8.4,EMD-12964,7okq,"DNA damage-binding protein 1	protein_or_peptide	0.129394898	Homo sapiens_9606,CRL4(DCAF1)	complex_supramolecule		Homo sapiens_9606,E3 ubiquitin-protein ligase RBX1	protein_or_peptide	0.013497239999999999	Homo sapiens_9606,Cullin-4A	protein_or_peptide	0.08670283599999999	Homo sapiens_9606,DDB1- and CUL4-associated factor 1	protein_or_peptide	0.171279094	Homo sapiens_9606","Q13619,Q16531,P62877,Q9Y4B6",LIGASE,0.124
Ribosome-bound SecYEG translocon in a nanodisc,6,EMD-4743,6r7l,"Protein translocase subunit SecY	protein_or_peptide	0.048553374999999996	Escherichia coli_562,Stalled E. coli ribosome nascent chain complex (RNC) bound to the translocon SecYEG in a nanodisc	complex_supramolecule		Escherichia coli_562,SecG	protein_or_peptide	0.001890321	Escherichia coli_562,SecE\,Protein translocase subunit SecE\,Protein translocase subunit SecE\,Protein translocase subunit SecE	protein_or_peptide	0.010880121999999999	Escherichia coli_562","A0A377BMD6,P0AGA2",MEMBRANE PROTEIN,0.245
