title,resolution,emdb_id,fitted_pdbs,xref_UNIPROTKB,xref_ALPHAFOLD
Overall structure of the U11 snRNP,3.4,EMD-18984,8r7n,"P62304,Q9BV90,P14678,Q9UDW3,P62316,P62314,Q6IEG0,P62306,P62318,Q16560,Q8N8D1,P62308","P62304,Q9BV90,P14678,Q9UDW3,P62316,P62314,Q6IEG0,P62306,P62318,Q16560,Q8N8D1,P62308"
Structure of the U11 snRNP core,3.1,EMD-51234,9gcm,"Q8N8D1,Q9BV90,Q16560","Q8N8D1,Q9BV90,Q16560"
Overall structure of the substrate-bound U11 snRNP,3.5,EMD-51223,9gbw,"P62304,Q9BV90,P14678,Q9UDW3,P62316,P62314,P62306,Q6IEG0,P62318,Q16560,Q8N8D1,P62308","P62304,Q9BV90,P14678,Q9UDW3,P62316,P62314,P62306,Q6IEG0,P62318,Q16560,Q8N8D1,P62308"
5'-lobe of the substrate-bound U11 snRNP,3.4,EMD-51225,9gbz,"Q9BV90,Q16560","Q9BV90,Q16560"
3'-lobe of the substrate-bound U11 snRNP,3.2,EMD-51226,9gc0,"P62304,P14678,Q9UDW3,P62316,P62314,P62306,Q6IEG0,P62318,Q8N8D1,P62308","P62304,P14678,Q9UDW3,P62316,P62314,P62306,Q6IEG0,P62318,Q8N8D1,P62308"
Structure of the U11 snRNP C-lobe,3.0,EMD-51233,9gcl,"P62304,P14678,Q9UDW3,P62316,P62314,P62306,Q6IEG0,P62318,P62308","P62304,P14678,Q9UDW3,P62316,P62314,P62306,Q6IEG0,P62318,P62308"
"Yeast post-catalytic P complex spliceosome, state I, overall map",2.31,EMD-47157,9dtr,"Q06091,P40968,Q03772,P32523,P53333,Q12330,P28004,Q04048,P21374,Q12309,P38241,Q02775,Q12046,P54999,P40567,P33334,P24384,P40018,P53277,Q12417,P36048,P33411,Q06217,P25337,P43321,P40204,Q02260,Q03654,P38302,P53913,Q08963,Q03375","Q06091,P40968,Q03772,P32523,P53333,Q12330,P28004,Q04048,P21374,Q12309,P38241,Q02775,Q12046,P54999,P40567,P33334,P24384,P40018,P53277,Q12417,P36048,P33411,Q06217,P25337,P43321,P40204,Q02260,Q03654,P38302,P53913,Q08963,Q03375"
Structure of a B-state intermediate committed to discard (Bd-I state),3.2,EMD-19941,9esh,"P39964,O14036,P87051,O43071,O94620,O14011,Q9P6R9,O94508,Q9UUC6,Q9USV3,Q9UTK6,O42661,O59733,Q9USZ3,O14187,O94316,Q9P7R9,O59734,Q10163,O14161,O59800,O74966,O13615,O74772,Q09882,Q9HE07,Q9HE06,P87312,P78794,P87126","P39964,O14036,P87051,O43071,O94620,O14011,Q9P6R9,O94508,Q9UUC6,Q9USV3,Q9UTK6,O42661,O59733,Q9USZ3,O14187,O94316,Q9P7R9,O59734,Q10163,O14161,O59800,O74966,O13615,O74772,Q09882,Q9HE07,Q9HE06,P87312,P78794,P87126"
Structure of a B-state intermediate committed to discard (Bd-II state),3.1,EMD-19942,9esi,"P39964,O14036,P87051,O43071,O94620,O14011,Q9P6R9,O94508,Q9UUC6,Q9USV3,Q9UTK6,O42661,O59733,O60141,Q9USZ3,O14187,O94316,Q9P7R9,O59734,Q10163,O14161,O13758,O59800,O74966,O13615,O74772,Q09882,Q9HE07,Q9HE06,O59793,P87312,P78794,P87126","P39964,O14036,P87051,O43071,O94620,O14011,Q9P6R9,O94508,Q9UUC6,Q9USV3,Q9UTK6,O42661,O59733,O60141,Q9USZ3,O14187,O94316,Q9P7R9,O59734,Q10163,O14161,O13758,O59800,O74966,O13615,O74772,Q09882,Q9HE07,Q9HE06,O59793,P87312,P78794,P87126"
Cryo-EM structure of S. cerevisiae Rai1-Rat1-Rtt103(252-273) complex.,2.65,EMD-50566,9fms,"Q02792,Q05543,P53063","Q02792,Q05543,P53063"
"Hypomethylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES), eEF2, GDP, and sordarin, Structure III",2.95,EMD-41000,8t3d,"P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P32324,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84","P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P32324,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84"
"Hypomethylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES), eEF2, GDP, and sordarin, Structure II",3.86,EMD-40999,8t3c,"P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P32324,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84","P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P32324,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84"
"Hypomethylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES), eEF2, GDP, and sordarin, Structure I",3.08,EMD-40998,8t3b,"P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P32324,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84","P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P32324,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84"
State 2c(S2c) of yeast 80S ribosome bound to compact eEF2 and 2 tRNAs during peptidyl transferation,3.4,EMD-38660,8xu8,"P87262,P41057,P05756,P39938,P48589,P0CX47,P0CX31,P05744,P0CH08,P0C2H8,Q3E757,P14126,P32324,P07280,P38701,P02406,P32905,Q01855,P0CX51,P14120,P05739,P0CX35,Q12690,P38011,P0C0V8,P05750,P49166,P0C0W1,P10664,Q3E7X9,P36105,P05749,Q3E792,P41805,P0CX37,P05737,P26321,P26784,P05738,P05759,P0CX39,P0CX82,P0CX45,P49167,P26786,Q08745,P02407,P05748,P33442,P04449,P05747,Q02753,P05745,P0CX55,P0CX33,P0CX41,P0C2H6,P17076,P05740,P0CX25,P39516,P0CX29,P0CX23,P25443,P35997,P26783,P04456,P0CX27,P0CX86,P04650,P05743,O13516,P38061,P0CX49,P0CX84","P87262,P41057,P05756,P39938,P48589,P0CX47,P0CX31,P05744,P0CH08,P0C2H8,Q3E757,P14126,P32324,P07280,P38701,P02406,P32905,Q01855,P0CX51,P14120,P05739,P0CX35,Q12690,P38011,P0C0V8,P05750,P49166,P0C0W1,P10664,Q3E7X9,P36105,P05749,Q3E792,P41805,P0CX37,P05737,P26321,P26784,P05738,P05759,P0CX39,P0CX82,P0CX45,P49167,P26786,Q08745,P02407,P05748,P33442,P04449,P05747,Q02753,P05745,P0CX55,P0CX33,P0CX41,P0C2H6,P17076,P05740,P0CX25,P39516,P0CX29,P0CX23,P25443,P35997,P26783,P04456,P0CX27,P0CX86,P04650,P05743,O13516,P38061,P0CX49,P0CX84"
"Hypomethylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES), eEF2, GDP, and sordarin, Structure IV",3.04,EMD-41001,8t3e,"P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P32324,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84","P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P32324,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84"
"Hypomethylated yeast 80S bound with cycloheximide, P-site tRNA, A-site tRNA, messenger RNA and eIF5A, PRE",2.46,EMD-40990,8t2x,"P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,A0A6A5PUZ5,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,A0A8H8ULI0,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84","P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,A0A6A5PUZ5,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84"
"Hypomethylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES), eEF2, GDP, sordarin, and hibernating factor Los2",2.86,EMD-40997,8t3a,"P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,A0A8H4C1T8,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P32324,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84","P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P32324,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84"
"Hypomethylated yeast 80S bound with cycloheximide, P-site tRNA, and A-site tRNA, messenger RNA, POST",2.4,EMD-40992,8t2z,"P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,A0A6A5PUZ5,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84","P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,A0A6A5PUZ5,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84"
"Hypomethylated yeast 80S bound with Taura syndrome virus (TSV) internal ribosome entry site (IRES), eEF2, GDP, and sordarin, Structure V",3.09,EMD-41002,8t3f,"P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P32324,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84","P87262,P05756,A0A6A5PVE9,A0A6A5Q7I9,P0CX47,P0CX31,A0A6A5Q6F2,A0A6A5PV92,P05744,A0A6A5Q2N7,P0CH08,P0C2H8,A0A6A5Q3Q1,P14126,P07280,P32324,P02406,P32905,P0CX51,P14120,A0A6A5Q8I3,P0CX35,Q12690,P38011,B3LMD0,A0A6A5Q1M9,A0A6A5PWR1,P49166,A0A6A5PUL8,A0A1L4AA68,A0A6A5PZ18,P36105,P05749,A0A6A5PWF7,P0CX37,P05737,A0A6A5Q3W0,Q02326,P26784,A0A6A5PY83,P05738,P0CX39,P06367,P0CX82,A0A6A5Q0W8,P04650,P26786,P0CX45,A0A6A5PRY4,Q08745,A0A6A5Q0E8,P02407,P05748,P0CX33,Q02753,P0CX49,P0CX55,P05745,P0CX41,P0C2H6,P17076,P05740,P0CX25,P0CX29,P35997,P04456,P0CX27,A0A6A5PU37,P0CX86,P0C0V8,P05743,A0A6A5PSE9,O13516,A0A6A5Q700,P0CX84"
