emdb_id,title,resolution,fitted_pdbs,xref_UNIPROTKB,xref_ALPHAFOLD
EMD-50504,in situ 70S Myxococcus xanthus ribosome,6.0,,,
EMD-17561,Cryo-ET subtomogram of 70S ribosomes in Escherichia coli cells at 37 and 46 degrees centigrade and in Escherichia coli cells overexpressing GroELS and MetK,8.4,,,
EMD-17562,Cryo-ET subtomogram of 70S ribosomes in Escherichia coli cells overexpressing GroEL,6.3,,,
EMD-18438,"mt-SSU assembly intermediate in GTPBP8 knock-out cells, state 1",6.75,,,
EMD-18040,In situ 70S ribosome of E. coli ED1a cells treated with tetracycline,7.0,,,
EMD-18038,In situ 70S ribosome of E. coli K-12 cells treated with tetracycline,8.5,,,
EMD-18036,In situ structure of E. coli 70S ribosome,5.3,,,
EMD-18037,In situ 70S ribosome of E. coli K-12 untreated cells,8.5,,,
EMD-18039,In situ 70S ribosome of E. coli ED1a untreated cells,7.5,,,
EMD-18826,In situ sub-tomogram average of the E. coli 70S ribosome obtained using honeycomb gold supports,6.7,,,
EMD-42503,"Escherichia coli transcription-translation coupled complex class B (TTC-B) containing RfaH bound to ops signal, mRNA with a 30 nt long spacer, and fMet-tRNAs in E-site and P-site of the ribosome",6.6,8urx,"A0A1X3KWX7,A1AGK6,P0A7J3,P0A7Q1,V0YKA9,P02359,V0AEG5,D7XI28,B7MAS6,A0A0E2KXL3,F4NQ61,P0A7Z4,U9Y6H3,A0A829CFT8,A0A0E2L2J1,P0A8V2,D7XH79,P0A8T7,B7MGC4,D7XKZ3,P0A7S3,V0AJX1,P02358,C3TRH7,V0ANK5,A0A037Y8L6,C3SK02,S1EA57,A0A8E0MHL6,P0A7L8,C3SR17,V0YZK9,P0ADY7,C3TPN2,D6IEL0,P60438,S1EW51,A0A0E2L017,E3PKY8,A0A7U9IV78,C3SYP2,A0A829CSJ4,A0A829CFV1,P61175,P0A7V8,P0A7W1,B7MCS9,A0A1X3LT86,P0A7M9,S1NW45,P0A7J7,A0A1X3LHG1,A0A1X3LC97,D8EB41,B7MCR3,A0A1X3JA73,P60422,P0A800","A0A1X3KWX7,A1AGK6,P0A7J3,P0A7Q1,V0YKA9,P02359,V0AEG5,D7XI28,B7MAS6,A0A0E2KXL3,F4NQ61,P0A7Z4,U9Y6H3,A0A829CFT8,A0A0E2L2J1,P0A8V2,D7XH79,P0A8T7,B7MGC4,D7XKZ3,P0A7S3,V0AJX1,P02358,C3TRH7,V0ANK5,A0A037Y8L6,C3SK02,S1EA57,P0A7L8,V0YZK9,C3SR17,P0ADY7,C3TPN2,D6IEL0,P60438,S1EW51,A0A0E2L017,E3PKY8,A0A7U9IV78,C3SYP2,A0A829CSJ4,A0A829CFV1,P61175,P0A7V8,P0A7W1,B7MCS9,A0A1X3LT86,P0A7M9,S1NW45,P0A7J7,A0A1X3LHG1,A0A1X3LC97,D8EB41,B7MCR3,A0A1X3JA73,P60422,P0A800"
EMD-42454,"Escherichia coli transcription-translation coupled complex class A (TTC-A) containing RfaH bound to ops signal, mRNA with a 21 nt long spacer, and fMet-tRNAs in E-site and P-site of the ribosome",5.3,8upr,"A0A1X3KWX7,A1AGK6,P0A7J3,P0A7Q1,V0YKA9,P02359,V0AEG5,D7XI28,B7MAS6,A0A0E2KXL3,F4NQ61,P0A7Z4,U9Y6H3,A0A829CFT8,A0A0E2L2J1,P0A8V2,D7XH79,P0A8T7,B7MGC4,D7XKZ3,P0A7S3,V0AJX1,P02358,C3TRH7,V0ANK5,A0A037Y8L6,C3SK02,S1EA57,A0A8E0MHL6,P0A7L8,C3SR17,V0YZK9,P0ADY7,C3TPN2,D6IEL0,P60438,S1EW51,A0A0E2L017,E3PKY8,A0A7U9IV78,C3SYP2,A0A829CSJ4,A0A829CFV1,P61175,P0A7V8,P0A7W1,B7MCS9,A0A1X3LT86,P0A7M9,S1NW45,P0A7J7,A0A1X3LHG1,A0A1X3LC97,D8EB41,B7MCR3,A0A1X3JA73,P60422,P0A800","A0A1X3KWX7,A1AGK6,P0A7J3,P0A7Q1,V0YKA9,P02359,V0AEG5,D7XI28,B7MAS6,A0A0E2KXL3,F4NQ61,P0A7Z4,U9Y6H3,A0A829CFT8,A0A0E2L2J1,P0A8V2,D7XH79,P0A8T7,B7MGC4,D7XKZ3,P0A7S3,V0AJX1,P02358,C3TRH7,V0ANK5,A0A037Y8L6,C3SK02,S1EA57,P0A7L8,V0YZK9,C3SR17,P0ADY7,C3TPN2,D6IEL0,P60438,S1EW51,A0A0E2L017,E3PKY8,A0A7U9IV78,C3SYP2,A0A829CSJ4,A0A829CFV1,P61175,P0A7V8,P0A7W1,B7MCS9,A0A1X3LT86,P0A7M9,S1NW45,P0A7J7,A0A1X3LHG1,A0A1X3LC97,D8EB41,B7MCR3,A0A1X3JA73,P60422,P0A800"
EMD-42492,"Escherichia coli transcription-translation coupled complex class B (TTC-B) containing RfaH bound to ops signal, mRNA with a 27 nt long spacer, and fMet-tRNAs in E-site and P-site of the ribosome",5.7,8urh,"A0A1X3KWX7,A1AGK6,P0A7J3,P0A7Q1,V0YKA9,P02359,V0AEG5,D7XI28,B7MAS6,A0A0E2KXL3,F4NQ61,P0A7Z4,U9Y6H3,A0A829CFT8,A0A0E2L2J1,P0A8V2,D7XH79,P0A8T7,B7MGC4,D7XKZ3,P0A7S3,V0AJX1,P02358,C3TRH7,V0ANK5,A0A037Y8L6,C3SK02,S1EA57,A0A8E0MHL6,P0A7L8,C3SR17,V0YZK9,P0ADY7,C3TPN2,D6IEL0,P60438,S1EW51,A0A0E2L017,E3PKY8,A0A7U9IV78,C3SYP2,A0A829CSJ4,A0A829CFV1,P61175,P0A7V8,P0A7W1,B7MCS9,A0A1X3LT86,P0A7M9,S1NW45,P0A7J7,A0A1X3LHG1,A0A1X3LC97,D8EB41,B7MCR3,A0A1X3JA73,P60422,P0A800","A0A1X3KWX7,A1AGK6,P0A7J3,P0A7Q1,V0YKA9,P02359,V0AEG5,D7XI28,B7MAS6,A0A0E2KXL3,F4NQ61,P0A7Z4,U9Y6H3,A0A829CFT8,A0A0E2L2J1,P0A8V2,D7XH79,P0A8T7,B7MGC4,D7XKZ3,P0A7S3,V0AJX1,P02358,C3TRH7,V0ANK5,A0A037Y8L6,C3SK02,S1EA57,P0A7L8,V0YZK9,C3SR17,P0ADY7,C3TPN2,D6IEL0,P60438,S1EW51,A0A0E2L017,E3PKY8,A0A7U9IV78,C3SYP2,A0A829CSJ4,A0A829CFV1,P61175,P0A7V8,P0A7W1,B7MCS9,A0A1X3LT86,P0A7M9,S1NW45,P0A7J7,A0A1X3LHG1,A0A1X3LC97,D8EB41,B7MCR3,A0A1X3JA73,P60422,P0A800"
