title,resolution,emdb_id,fitted_pdbs,xref_UNIPROTKB,xref_ALPHAFOLD,Q-score,atom_inclusion,recommended_contour_level
3.4 angstrom cryo-EM structure of yeast 90S small subunit preribosome,3.4,EMD-9964,6ke6,"Q12460,P42945,P38333,P36144,Q06506,Q08492,Q02354,Q06679,P0CX29,Q05946,P06367,P0CX51,P25368,P0CX55,P40055,P53276,Q04177,Q12220,P40079,P0CX35,P53914,Q04305,P0CX39,P33750,P53254,Q12136,P48589,Q12035,Q02931,P40546,P26786,P0CX47,Q3E7X9,P33442,P25586,Q05498,P32899,P47083,P48234,Q99207,Q08965,P0CX37,P39990,P53941,P38882,P34247,P35997,P15646,P05756,O13516,P26783,Q04500,Q3E7Y3,Q12499,P40362,Q06512,P0CX31,P25635,Q06078,P35194,Q06287,Q08096","Q12460,P42945,P38333,P36144,Q06506,Q08492,Q02354,Q06679,P0CX29,Q05946,P06367,P0CX51,P25368,P0CX55,P40055,P53276,Q04177,Q12220,P40079,P0CX35,P53914,Q04305,P0CX39,P33750,P53254,Q12136,P48589,Q12035,Q02931,P40546,P26786,P0CX47,Q3E7X9,P33442,P25586,Q05498,P32899,P47083,P48234,Q99207,Q08965,P0CX37,P39990,P53941,P38882,P34247,P35997,P15646,P05756,O13516,P26783,Q04500,Q3E7Y3,Q12499,P40362,Q06512,P0CX31,P25635,Q06078,P35194,Q06287,Q08096",0.427,0.574,0.016
Cryo-EM Structure of Pre-B Complex (core part),3.5,EMD-18544,8qp8,"P83876,Q15459,Q9BUQ8,Q6P2Q9,Q8WVK2,Q15029,Q8WWY3,O94906,Q53GS9,O43395,Q9BTD8,O43290","P83876,Q15459,Q9BUQ8,Q6P2Q9,Q8WVK2,Q15029,Q8WWY3,O94906,Q53GS9,O43395,Q9BTD8,O43290",0.441,0.713,0.075
Cryo-EM Structure of Pre-B+5'ss+ATPgammaS Complex (core part),3.1,EMD-18542,8qoz,"P83876,O75643,Q9BUQ8,Q6P2Q9,Q15459,Q15029,O43290,Q8WWY3,O94906,P55769,O43395,Q53GS9,O43172","P83876,O75643,Q9BUQ8,Q6P2Q9,Q15459,Q15029,O43290,Q8WWY3,O94906,P55769,O43395,Q53GS9,O43172",0.519,0.842,0.032
Cryo-EM Structure of the Activated Human Minor Spliceosome (minor Bact Complex),2.89,EMD-30875,7dvq,"P62314,P62316,Q6UX04,Q9UQ35,O15541,Q8TAD8,Q5RL73,O75533,Q13573,Q6P2Q9,P62308,Q9BRD0,P14678,Q9HCG8,Q9Y3B4,O60231,Q9P013,Q9BWG6,Q13435,Q9BWJ5,Q7RTV0,Q15029,Q99459,Q9H6L4,P62318,Q9P021,O43660,Q96DI7,P62304,Q9BZJ0,O75643,Q9Y388,P62306,Q15393,Q13356,Q92917,Q15427,Q8IYB3","P62314,P62316,Q6UX04,O15541,Q8TAD8,Q5RL73,O75533,Q13573,Q6P2Q9,P62308,Q9BRD0,P14678,Q9HCG8,Q9Y3B4,O60231,Q9P013,Q9BWG6,Q13435,Q9BWJ5,Q7RTV0,Q15029,Q99459,Q9H6L4,P62318,Q9P021,O43660,Q96DI7,P62304,Q9BZJ0,O75643,Q9Y388,P62306,Q15393,Q13356,Q92917,Q15427,Q8IYB3",0.432,0.616,0.014
Cryo-EM map of the Candida albicans 80S ribosome in complex with anisomycin,2.77,EMD-13749,7q0p,"O42817,A0A1D8PLC9,Q5AJ93,P9WER7,A0A1D8PN83,A0A1D8PI15,A0A1D8PK22,A0A1D8PQN0,A0A1D8PG16,A0A1D8PK71,A0A1D8PF57,Q5A7K0,A0A1D8PFG4,A0A1D8PPE0,P0CU35,A0A1D8PNQ6,A0A1D8PK40,Q5A900,Q5A389,A0A1D8PDU3,A0A1D8PM75,Q5ALV6,Q5AGZ7,A0A1D8PDT4,O59931,A0A1D8PL99,A0A1D8PH21,A0A1D8PCX8,Q5A6R1,A0A1D8PSC5,A0A1D8PGY8,A0A1D8PDT3,A0A1D8PK61,Q5ANA1,A0A1D8PTR4,Q59LS1,P83774,A0A1D8PSV5,Q5ADQ6,Q59T44,P40910,A0A1D8PCW6,Q5A109,A0A1D8PPS1,A0A1D8PCG7,A0A1D8PCI6,A0A1D8PTI7,A0A1D8PPN6,Q5AG43,A0A1D8PSK2,A0A1D8PEY9,A0A1D8PF45,A0A1D8PQQ5,Q5AIB8","O42817,A0A1D8PLC9,Q5AJ93,A0A1D8PK22,A0A1D8PN83,A0A1D8PI15,A0A1D8PQN0,A0A1D8PG16,A0A1D8PK71,A0A1D8PF57,Q5A7K0,A0A1D8PFG4,A0A1D8PPE0,P0CU35,A0A1D8PNQ6,A0A1D8PK40,Q5A900,Q5A389,A0A1D8PDU3,A0A1D8PM75,Q5ALV6,Q5AGZ7,A0A1D8PDT4,O59931,A0A1D8PL99,A0A1D8PH21,A0A1D8PCX8,Q5A6R1,A0A1D8PSC5,A0A1D8PGY8,A0A1D8PDT3,A0A1D8PK61,Q5ANA1,A0A1D8PTR4,Q59LS1,P83774,A0A1D8PSV5,Q5ADQ6,Q59T44,P40910,A0A1D8PCW6,Q5A109,A0A1D8PPS1,A0A1D8PCG7,A0A1D8PCI6,A0A1D8PTI7,A0A1D8PPN6,Q5AG43,A0A1D8PSK2,A0A1D8PEY9,A0A1D8PF45,A0A1D8PQQ5,Q5AIB8",0.41,0.568,0.55
Cryo-EM map of the vacant Candida albicans 80S ribosome,2.32,EMD-13737,7pzy,"O42817,A0A1D8PLC9,Q5AJ93,P9WER7,A0A1D8PN83,A0A1D8PI15,A0A1D8PK22,A0A1D8PQN0,A0A1D8PG16,A0A1D8PK71,A0A1D8PF57,Q5A7K0,A0A1D8PFG4,A0A1D8PPE0,A0A1D8PNQ6,A0A1D8PK40,Q5A900,Q5A389,A0A1D8PDU3,A0A1D8PM75,Q5ALV6,Q5AGZ7,A0A1D8PDT4,O59931,A0A1D8PL99,A0A1D8PH21,A0A1D8PCX8,Q5A6R1,A0A1D8PSC5,A0A1D8PGY8,A0A1D8PDT3,A0A1D8PK61,Q5ANA1,A0A1D8PTR4,Q59LS1,P83774,A0A1D8PSV5,Q5ADQ6,Q59T44,P40910,A0A1D8PCW6,Q5A109,A0A1D8PPS1,A0A1D8PCG7,A0A1D8PCI6,Q96W54,A0A1D8PTI7,A0A1D8PPN6,Q5AG43,A0A1D8PSK2,A0A1D8PEY9,A0A1D8PF45,A0A1D8PQQ5,Q5AIB8","O42817,A0A1D8PLC9,Q5AJ93,A0A1D8PK22,A0A1D8PN83,A0A1D8PI15,A0A1D8PQN0,A0A1D8PG16,A0A1D8PK71,A0A1D8PF57,Q5A7K0,A0A1D8PFG4,A0A1D8PPE0,A0A1D8PNQ6,A0A1D8PK40,Q5A900,Q5A389,A0A1D8PDU3,A0A1D8PM75,Q5ALV6,Q5AGZ7,A0A1D8PDT4,O59931,A0A1D8PL99,A0A1D8PH21,A0A1D8PCX8,Q5A6R1,A0A1D8PSC5,A0A1D8PGY8,A0A1D8PDT3,A0A1D8PK61,Q5ANA1,A0A1D8PTR4,Q59LS1,P83774,A0A1D8PSV5,Q5ADQ6,Q59T44,P40910,A0A1D8PCW6,Q5A109,A0A1D8PPS1,A0A1D8PCG7,A0A1D8PCI6,Q96W54,A0A1D8PTI7,A0A1D8PPN6,Q5AG43,A0A1D8PSK2,A0A1D8PEY9,A0A1D8PF45,A0A1D8PQQ5,Q5AIB8",0.53,0.696,0.226
Cryo-EM structure of Brr2 in complex with Jab1/MPN and C9ORF78,2.76,EMD-13046,7os2,"O75643,Q6P2Q9,Q9NZ63","O75643,Q6P2Q9,Q9NZ63",0.543,0.909,0.2
Cryo-EM structure of PRMT5/WDR77 in complex with 6S complex,3.06,EMD-47477,9e3b,"P62314,P54105,O14744,Q9BQA1","P62314,P54105,O14744,Q9BQA1",0.512,0.802,0.06
Cryo-EM structure of S. cerevisiae Rai1-Rat1 dimer.,3.23,EMD-18199,8q6v,"Q02792,P53063","Q02792,P53063",0.422,0.913,0.0577
Cryo-EM structure of S. cerevisiae Rai1-Rat1-Rtt103(252-273) complex.,2.65,EMD-50566,9fms,"P53063,Q02792,Q05543","P53063,Q02792,Q05543",0.526,0.878,0.12
